Species Code,Genus,Species,Subspecies,Common Name,Family,Duration,Community
acac cons,Acacia,constricta,,Whitethorn acacia,Fabaceae,Perennial,Perennials
acac greg,Acacia,greggii,,Catclaw acacia,Fabaceae,Perennial,Perennials
acac sp,Acacia,spp.,,Unknown,Fabaceae,Perennial,Perennials
alli inca,Allionia,incarnate,,Trailing windmills,Nyctaginaceae,Perennial,Perennials
alli sp,Allionia,spp.,,Unknown,Nyctaginaceae,Perennial,Perennials
amar palm,Amaranthus,palmeri,,Carelessweed,Amaranthaceae,Annual,Summer Annuals
ambr arte,Ambrosia,artemisiifolia,,Annual ragweed,Asteraceae,Annual,Summer and Winter Annuals
ammo chen,Ammocodon,chenopodioides,,Goosefoot monopod,Nyctaginaceae,Perennial,Perennials
amsi inte,Amsinckia,menziesii (intermedia),,Common fiddleneck,Boraginaceae,Annual,Winter Annuals
amsi tess,Amsinckia,tessellata,,Bristly Fiddleneck,Boraginaceae,Annual,Winter Annuals
andr occi,Androsace,occidentalis,,Western rockjasmine,Primulaceae,Annual,Winter Annuals
annu forb,Unknown annual forb,Unknown,,Unknown,Unknowns,Annual,Unknown
annu forb2,Unknown,Unknown,,Unknown,Unknowns,Annual,Unknown
annu forb3,Unknown,Unknown,,Unknown,Unknowns,Annual,Unknown
annu forb4,Unknown,Unknown,,Unknown,Unknowns,Annual,Unknown
annu forb5,Unknown,Unknown,,Unknown,Unknowns,Annual,Unknown
annu gras,Unknown annual grass,Unknown,,Unknown,Poaceae,Annual,Unknown
annu gras1,Unknown annual grass (Distinct from annu gras),Unknown,,Unknown,Poaceae,Annual,Unknown
apod undu,Apodanthera,undulate,,Melon loco,Cucurbitaceae,Perennial,Perennials
aris adsc,Aristida,adscensionis,,Sixweeks threeawn,Poaceae,Annual,Summer Annuals
aris hamu,Aristida,ternipes (hamulosa),var. gentilis,Spidergrass,Poaceae,Perennial,Perennials
aris long,Aristida,longiseta,,Purple threeawn,Poaceae,Perennial,Perennials
aris sp,Aristida,Unknown,,Unknown,Poaceae,Unknown,Unknown
astr allo,Astragalus,allochrous,,Halfmoon milkvetch,Fabaceae,Annual,Winter Annuals
astr nutt,Astragalus,nuttallianus,,Smallflowered milkvetch,Fabaceae,Annual,Winter Annuals
astr sp,Astragalus,spp.,,Unknown,Fabaceae,Annual,Winter Annuals
atri acan,Atriplex,acanthocarpa,,Tubercled Saltbush,Chenopodiaceae,Perennial,Perennials
atri eleg,Atriplex,elegans,,Wheelscale Saltbush,Chenopodiaceae,Annual,Summer Annuals
bahi absi,Bahia,absinthifolila,,Sageleaf Bahia,Asteraceae,Perennial,Perennials
bahi bite,Bahia,biternata,,Slimlobe bahia,Asteraceae,Annual,Summer Annuals
bail mult,Baileya,multiradiata,,Desert marigold,Asteraceae,Annual,Summer and Winter Annuals
boer cocc,Boerhaavia,coccinea,,Garnet spiderling,Nyctaginaceae,Perennial,Perennials
boer cout,Boerhavia,coulteri,,Coulter's spiderling,Nyctaginaceae,Annual,Summer Annuals
boer inte,Boerhavia,intermedia,,Firewing spiderling,Nyctaginaceae,Annual,Summer Annuals
boer sp,Boerhavia,spp.,,Unknown,Nyctaginaceae,Annual,Summer Annuals
boer spic,Boerhavia,spicata,,Creeping spiderling,Nyctaginaceae,Annual,Summer Annuals
boer torr,Boerhaavia,torreyana,,Creeping spiderling,Nyctaginaceae,Annual,Summer Annuals
both barb,Bothriochloa,barbinodis,,Cane bluestem,Poaceae,Perennial,Perennials
bout aris,Bouteloua,aristidoides,,Needle grama,Poaceae,Annual,Summer Annuals
bout barb,Bouteloua,barbata,,Sixweeks grama,Poaceae,Annual,Summer Annuals
bout dact,Bouteloua,dactyloides,,Buffalo grass,Poaceae,Perennial,Perennials
bout erio,Bouteloua,eriopoda,,Black grama,Poaceae,Perennial,Perennials
bout sp,Bouteloua,spp.,,Unknown,Poaceae,Annual,Summer Annuals
bray dens,Brayulinea,densa,,Small matweed ,Amaranthaceae,Perennial,Perennials
brom rube,Bromus,rubens,,Red brome,Poaceae,Annual,Winter Annuals
caly wrig,Calycoseris,wrightii,,White tackstem,Asteraceae,Annual,Winter Annuals
cass bauh,Cassia,bauhinoides,,Twinleaf senna,Fabaceae,Perennial,Perennials
cass lept,Cassia,leptadenia,,Sensitive partridge pea,Fabaceae,Annual,Summer Annuals
chae stev,Chaenactis,stevioides,,Esteve's pincushion,Asteraceae,Annual,Winter Annuals
chen frem,Chenopodium,fremontii,,Fremont's goosefoot,Chenopodiaceae,Annual,Summer and Winter Annuals
chlo virg,Chloris,virgata,,Feather fingergrass,Poaceae,Annual,Summer Annuals
chor tene,Chorispora,tenella,,Crossflower,Brassicaceae,Annual,Winter Annuals
cirs neom,Cirsium,neomexicanum,,New Mexico thistle,Asteraceae,Perennial,Perennials
comm erec,Commelina,erecta,,Whitemouth daisyflower,Commelinaceae,Perennial,Perennials
crot cory,Croton,corymbulosa,,Leatherweed,Eurphorbiaceae,Perennial,Perennials
crot pumi,Crotalaria,pumila,,Low rattlebox,Fabaceae,Annual,Summer Annuals
cryp cras,Cryptantha,crassisepala,,Thicksepal cryptantha,Boraginaceae,Annual,Winter Annuals
cryp micr,Cryptantha,micrantha,,Redroot cryptantha,Boraginaceae,Annual,Winter Annuals
cryp sp,Cryptantha,spp.,,Unknown,Boraginaceae,Annual,Winter Annuals
cryp sp2,Cryptantha,Unknown,,Unknown,Boraginaceae,Annual,Winter Annuals
cusc sp,Cuscuta,spp.,,Unknown,Cuscutaceae,Annual,Summer Annuals
dale brac,Dalea,brachystachya,,Fort Bowie prairie clover,Fabaceae,Annual,Summer and Winter Annuals
dale nana,Dalea,nana,,Dwarf prairie clover,Fabaceae,Perennial,Perennials
dale pogo,Dalea,pogonathera,,Bearded prairie clover,Fabaceae,Perennial,Perennials
