plot_id,plot,ranch,habitat,bdffp_no,year,old_tag_no,new_tag_number,notes
FF-1,2107,dimona,one,2107,2002,229,269,NA
FF-1,2107,dimona,one,2107,2000,23,165,NA
FF-1,2107,dimona,one,2107,2006,287,326,NA
FF-1,2107,dimona,one,2107,2008,40,365,NA
FF-1,2107,dimona,one,2107,2000,67,245,NA
FF-2,2108,dimona,one,2108,2000,123,NA,NA
FF-2,2108,dimona,one,2108,2007,184,331,NA
FF-2,2108,dimona,one,2108,2006,217,278,NA
FF-2,2108,dimona,one,2108,2005,227,240,NA
FF-2,2108,dimona,one,2108,2006,262,229,NA
FF-2,2108,dimona,one,2108,2006,29,291,NA
FF-2,2108,dimona,one,2108,2000,41,NA,NA
FF-2,2108,dimona,one,2108,2000,64,NA,NA
FF-2,2108,dimona,one,2108,2006,C9 #69,NA,needs new number
FF-5,2206,dimona,ten,2206,2006,104,331,NA
FF-5,2206,dimona,ten,2206,2006,108,341,NA
FF-5,2206,dimona,ten,2206,2003,19,193,NA
FF-5,2206,dimona,ten,2206,2006,208,242,NA
FF-5,2206,dimona,ten,2206,2006,269,322,NA
FF-5,2206,dimona,ten,2206,2002,45,25,NA
FF-5,2206,dimona,ten,2206,2006,53,320,NA
FF-5,2206,dimona,ten,2206,2002,76,186,NA
CF-2,5750,esteio,forest,1501,2004,103,1395,NA
CF-2,5750,esteio,forest,1501,2004,104,989,NA
CF-2,5750,esteio,forest,1501,2004,104,1332,NA
CF-2,5750,esteio,forest,1501,2001,107,717,NA
CF-2,5750,esteio,forest,1501,2004,11,1305,NA
CF-2,5750,esteio,forest,1501,2004,111,1341,NA
CF-2,5750,esteio,forest,1501,2004,116,1306,NA
CF-2,5750,esteio,forest,1501,2004,12,1307,NA
CF-2,5750,esteio,forest,1501,2004,126,1130,NA
CF-2,5750,esteio,forest,1501,2004,128,1334,NA
CF-2,5750,esteio,forest,1501,2004,13,996,996: one in h7 and one in d7
CF-2,5750,esteio,forest,1501,2006,1312,1416,NA
CF-2,5750,esteio,forest,1501,2006,1333,1404,NA
CF-2,5750,esteio,forest,1501,2006,1335,1414,NA
CF-2,5750,esteio,forest,1501,2006,1381,1391,NA
CF-2,5750,esteio,forest,1501,2004,15,977,NA
CF-2,5750,esteio,forest,1501,2004,16,893,NA
CF-2,5750,esteio,forest,1501,2000,160,673,NA
CF-2,5750,esteio,forest,1501,2004,17,1309,NA
CF-2,5750,esteio,forest,1501,2004,18,979,NA
CF-2,5750,esteio,forest,1501,2004,19,1321,NA
CF-2,5750,esteio,forest,1501,2004,2,956,NA
CF-2,5750,esteio,forest,1501,2004,20,995,NA
