PLOT,SIZE,RANCH,BDFFP_Reserve_No,Tag_Number,Row,Column,SHTS_1998,HT_1998,INFL_1998,NOTES_1998,SHTS_1999,HT_1999,INFL_1999,NOTES_1999,SHTS_2000,HT_2000,INFL_2000,NOTES_2000,SHTS_2001,HT_2001,INFL_2001,NOTES_2001,SHTS_2002,HT_2002,INFL_2002,NOTES_2002,SHTS_2003,HT_2003,INFL_2003,NOTES_2003,SHTS_2004,HT_2004,INFL_2004,NOTES_2004,SHTS_2005,HT_2005,INFL_2005,NOTES_2005
5754,10-ha,PortoAlegre,3209,406,A,1,1,24,0,,2,22,0,,2,23,0,,2,19,0,,1,26,0,,1,15,0,,,,,,,,,
5754,10-ha,PortoAlegre,3209,410,A,1,2,33,0,,2,30,0,,2,19,0,,3,19,0,,2,21,0,,3,37,0,,2,26,0,,2,23,0,
5754,10-ha,PortoAlegre,3209,469,A,1,2,15,0,,2,11,0,,1,10,0,,1,13,0,,1,14,0,,0,0,0,2,,,,,,,,
5754,10-ha,PortoAlegre,3209,652,A,1,,,,,,,,,1,8,0,1,1,12,0,,1,12,0,,1,13,0,,1,8,0,,1,8,0,
5754,10-ha,PortoAlegre,3209,856,A,1,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,1,,,,
5754,10-ha,PortoAlegre,3209,1336,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,0,50
5754,10-ha,PortoAlegre,3209,300,A,2,,,,,4,52,0,,3,64,0,,,,,,2,73,0,,2,68,0,,2,57,0,,2,64,0,
5754,10-ha,PortoAlegre,3209,328,A,2,2,33,0,,2,24,0,,2,27,0,,1,10,0,,2,24,0,,1,13,0,,1,8,0,,1,10,0,
5754,10-ha,PortoAlegre,3209,413,A,2,,,,,1,13,0,3,2,16,0,,1,17,0,,1,16,0,,,,,,1,11,0,,1,4,0,
5754,10-ha,PortoAlegre,3209,414,A,2,,,,,1,9,0,3,1,11,0,,1,11,0,,1,10,0,,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,421,A,2,,,,,1,4,0,1,1,6,0,,1,9,0,,1,11,0,,1,9,0,,1,8,0,,,,0,2
5754,10-ha,PortoAlegre,3209,425,A,2,,,,,3,25,0,3,3,39,0,,3,34,0,,2,44,0,,3,36,0,,3,30,0,,3,29,0,
5754,10-ha,PortoAlegre,3209,450,A,2,4,50,1,,3,54,0,,4,61,0,,4,60,0,,4,53,0,,,,,,5,38,0,,2,45,0,
5754,10-ha,PortoAlegre,3209,473,A,2,3,23,0,,2,31,0,,3,18,0,,1,24,0,,1,22,0,,1,18,0,,1,20,0,,2,20,0,
5754,10-ha,PortoAlegre,3209,493,A,2,,,,,4,49,0,3,3,43,0,,2,46,0,,3,34,0,,2,33,0,,4,35,0,,3,33,0,
5754,10-ha,PortoAlegre,3209,500,A,2,,,,,1,12,0,3,1,12,0,,1,8,0,,,,,,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,897,A,2,,,,,,,,,,,,,,,,,,,,,1,12,0,50,1,9,0,,1,9,0,
5754,10-ha,PortoAlegre,3209,1391,A,2,3,46,0,,4,52,0,,3,64,0,,3,36,0,,4,69,0,,3,64,0,,2,51,0,,1,35,0,
5754,10-ha,PortoAlegre,3209,278,A,3,3,31,0,,3,24,0,,2,27,0,,3,27,0,,3,27,0,,2,28,0,,1,27,0,,2,26,0,
5754,10-ha,PortoAlegre,3209,392,A,3,2,30,0,,1,24,0,,2,23,0,,3,27,0,,3,32,0,,2,34,0,,3,25,0,,1,37,0,
5754,10-ha,PortoAlegre,3209,422,A,3,,,,,1,13,0,3,0,0,0,2,,,,,,,,,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,452,A,3,,,,,1,2,0,1,1,11,0,,1,9,0,,1,8,0,,1,8,0,,1,9,0,,1,9,0,
5754,10-ha,PortoAlegre,3209,477,A,3,,,,,1,10,0,1,1,22,0,,2,27,0,,2,32,0,90,1,37,0,,2,34,0,,2,33,0,
5754,10-ha,PortoAlegre,3209,495,A,3,,,,,1,12,0,1,1,16,0,,2,13,0,,1,15,0,,1,13,0,,2,11,0,,1,13,0,
5754,10-ha,PortoAlegre,3209,499,A,3,,,,,1,5,0,1,1,12,0,,1,13,0,,2,18,0,,0,0,0,2,,,,,,,,
5754,10-ha,PortoAlegre,3209,601,A,3,,,,,,,,,1,17,0,3,1,19,0,,1,18,0,,1,20,0,,2,18,0,,1,13,0,
5754,10-ha,PortoAlegre,3209,371,A,4,1,31,0,,2,24,0,,,,,,,,,,6,84,1,,2,85,0,,6,107,1,,5,100,0,
5754,10-ha,PortoAlegre,3209,374,A,4,3,63,0,,3,39,0,,4,58,0,,3,47,0,,3,73,0,,4,70,0,,4,62,0,,3,68,0,
5754,10-ha,PortoAlegre,3209,376,A,4,1,26,0,,1,34,0,,2,38,0,,3,51,0,,4,56,0,,4,47,0,,4,54,0,,3,43,0,
5754,10-ha,PortoAlegre,3209,430,A,4,,,,,1,11,0,3,1,9,0,,,,,,,,,,,,,,0,0,0,2,,,,
5754,10-ha,PortoAlegre,3209,436,A,4,,,,,1,6,0,1,1,21,0,,2,29,0,,2,32,0,,1,25,0,,0,0,0,2,,,,
5754,10-ha,PortoAlegre,3209,439,A,4,,,,,1,8,0,1,1,24,0,80,2,32,0,,5,50,0,,4,50,0,,5,77,0,,4,60,0,
5754,10-ha,PortoAlegre,3209,475,A,4,,,,,1,6,0,1,1,18,0,,3,19,0,,2,26,0,,1,21,0,,1,25,0,,1,15,0,
5754,10-ha,PortoAlegre,3209,480,A,4,,,,,1,12,0,1,1,23,0,,1,13,0,,1,11,0,,1,12,0,,0,0,0,2,,,,
5754,10-ha,PortoAlegre,3209,484,A,4,,,,,2,15,0,3,2,17,0,,1,19,0,,1,16,0,,2,10,0,,2,10,0,,1,17,0,
5754,10-ha,PortoAlegre,3209,485,A,4,,,,,1,4,0,1,1,11,0,80,1,16,0,,1,20,0,,1,23,0,,1,20,0,,1,20,0,
5754,10-ha,PortoAlegre,3209,494,A,4,,,,,1,6,0,1,1,14,0,,1,24,0,,3,25,0,,2,28,0,,2,29,0,,2,30,0,
5754,10-ha,PortoAlegre,3209,496,A,4,,,,,1,4,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,624,A,4,,,,,,,,,1,12,0,1,3,18,0,,2,28,0,,2,30,0,,3,26,0,,2,23,0,
5754,10-ha,PortoAlegre,3209,640,A,4,,,,,,,,,1,14,0,1,1,12,0,,1,17,0,,1,20,0,,2,29,0,,2,28,0,
5754,10-ha,PortoAlegre,3209,645,A,4,,,,,,,,,1,15,0,1,3,25,0,,3,44,0,,,,,,0,0,0,2,,,,
5754,10-ha,PortoAlegre,3209,650,A,4,,,,,,,,,1,16,0,1,3,30,0,,3,45,0,,3,64,0,,2,75,0,,3,80,0,
5754,10-ha,PortoAlegre,3209,657,A,4,,,,,,,,,1,13,0,1,3,24,0,,6,47,0,,3,96,0,,3,120,0,,4,101,0,
5754,10-ha,PortoAlegre,3209,659,A,4,,,,,,,,,1,8,0,1,2,18,0,,2,24,0,,2,42,0,,5,44,0,,5,55,0,
5754,10-ha,PortoAlegre,3209,662,A,4,,,,,,,,,1,15,0,1,4,29,0,,7,47,0,,4,66,0,,5,77,1,,5,78,0,
5754,10-ha,PortoAlegre,3209,665,A,4,,,,,,,,,1,8,0,1,1,11,0,,3,18,0,,2,24,0,,,,,,,,,
5754,10-ha,PortoAlegre,3209,668,A,4,,,,,,,,,1,10,0,1,1,11,0,,1,22,0,,1,24,0,,2,29,0,,2,30,0,
5754,10-ha,PortoAlegre,3209,855,A,4,,,,,,,,,,,,,,,,,,,,,,,,,2,24,0,3,,,0,2
5754,10-ha,PortoAlegre,3209,943,A,4,,,,,,,,,,,,,,,,,1,14,0,1,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,953,A,4,,,,,,,,,,,,,,,,,1,20,0,3,1,23,0,,,,,,,,,
5754,10-ha,PortoAlegre,3209,1376,A,4,,,,,,,,,,,,,1,11,0,1,1,26,0,,1,23,0,,2,25,0,,,,0,2
5754,10-ha,PortoAlegre,3209,245,A,5,4,63,1,,5,50,0,,1,30,0,80,4,59,0,,6,58,1,,5,37,1,,7,60,2,,10,94,1,
5754,10-ha,PortoAlegre,3209,255,A,5,2,16,0,,2,34,0,,0,0,0,80,,,,,,,,,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,262,A,5,2,36,0,,3,43,0,,0,0,0,80,5,42,0,,4,66,0,,4,50,0,,5,58,0,,5,48,0,
5754,10-ha,PortoAlegre,3209,268,A,5,2,32,0,,3,45,0,,5,47,0,,5,72,1,,7,74,1,,5,71,1,,2,94,0,,2,92,0,
5754,10-ha,PortoAlegre,3209,270,A,5,2,31,0,,3,33,0,,4,42,0,,,,,,6,69,1,,3,65,0,,2,73,0,,3,78,0,
5754,10-ha,PortoAlegre,3209,307,A,5,3,30,0,,3,34,0,,4,44,0,,4,51,0,,4,57,0,,3,59,0,,3,54,0,,1,22,0,
5754,10-ha,PortoAlegre,3209,315,A,5,2,44,0,,4,46,0,,6,56,0,,8,77,0,,9,82,1,,5,80,1,,5,103,0,,4,95,0,
5754,10-ha,PortoAlegre,3209,320,A,5,1,13,0,,1,16,0,,1,29,0,80,3,45,0,,2,34,0,90,3,38,0,,3,41,0,,3,54,0,
5754,10-ha,PortoAlegre,3209,395,A,5,2,39,0,,3,39,0,,3,32,0,,,,,,4,65,0,,3,50,0,,3,65,0,,3,74,0,
5754,10-ha,PortoAlegre,3209,444,A,5,,,,,3,27,0,3,3,43,0,,1,21,0,,3,42,0,,7,50,0,,6,73,0,,7,90,0,
5754,10-ha,PortoAlegre,3209,481,A,5,,,,,1,6,0,1,1,12,0,,,,,,,,,,0,0,0,2,,,,,,,,
5754,10-ha,PortoAlegre,3209,483,A,5,,,,,3,33,0,3,3,28,0,,3,38,0,,2,39,0,,2,30,0,,,,,,,,,
5754,10-ha,PortoAlegre,3209,487,A,5,,,,,2,18,0,3,3,24,0,,5,39,0,,11,39,0,,5,43,0,,5,43,0,,5,47,0,
5754,10-ha,PortoAlegre,3209,488,A,5,,,,,1,6,0,1,0,0,0,80,0,0,0,2,,,,,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,620,A,5,,,,,,,,,1,11,0,1,,,,,4,19,0,,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,633,A,5,,,,,,,,,1,12,0,1,2,19,0,,1,11,0,,0,0,0,2,,,,,,,,
5754,10-ha,PortoAlegre,3209,769,A,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,44,0,50
5754,10-ha,PortoAlegre,3209,770,A,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,1
5754,10-ha,PortoAlegre,3209,810,A,5,,,,,,,,,,,,,,,,,,,,,2,25,0,50,3,36,0,,3,55,0,90
5754,10-ha,PortoAlegre,3209,811,A,5,,,,,,,,,,,,,,,,,,,,,3,28,0,50,2,30,0,,3,30,0,
5754,10-ha,PortoAlegre,3209,813,A,5,,,,,,,,,,,,,,,,,,,,,6,50,0,3,7,135,0,,3,135,0,
5754,10-ha,PortoAlegre,3209,814,A,5,,,,,,,,,,,,,,,,,,,,,6,25,0,,5,61,0,,4,57,0,
5754,10-ha,PortoAlegre,3209,895,A,5,,,,,,,,,,,,,,,,,,,,,3,16,0,3,3,25,0,,2,17,0,
5754,10-ha,PortoAlegre,3209,966,A,5,,,,,,,,,,,,,,,,,1,12,0,1,1,16,0,,2,20,0,,1,17,0,
5754,10-ha,PortoAlegre,3209,977,A,5,,,,,,,,,,,,,,,,,1,17,0,3,2,23,0,,3,22,0,,2,20,0,
5754,10-ha,PortoAlegre,3209,1385,A,5,,,,,,,,,,,,,1,7,0,1,,,,,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,316,A,5.25,,,,,,,,,,,,,,,,,16,83,2,,15,70,2,,9,85,2,40,13,87,4,
5754,10-ha,PortoAlegre,3209,854,A,5.5,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,1,1,20,0,
5754,10-ha,PortoAlegre,3209,267,A,6,5,56,0,,4,52,0,,3,48,0,,5,54,1,,7,86,0,,5,89,0,,10,127,2,,9,126,1,
5754,10-ha,PortoAlegre,3209,318,A,6,3,19,0,,2,20,0,,0,0,0,80,2,20,0,,5,29,0,,6,27,0,,11,42,0,,19,60,0,
5754,10-ha,PortoAlegre,3209,319,A,6,4,54,1,,5,54,0,,2,83,0,80,4,108,2,,12,111,3,,7,113,0,,7,147,1,,7,103,0,
5754,10-ha,PortoAlegre,3209,760,A,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,1
5754,10-ha,PortoAlegre,3209,808,A,6,,,,,,,,,,,,,,,,,,,,,1,10,0,1,1,7,0,,,,0,2
5754,10-ha,PortoAlegre,3209,809,A,6,,,,,,,,,,,,,,,,,,,,,1,15,0,3,3,34,0,,4,92,0,
5754,10-ha,PortoAlegre,3209,853,A,6,,,,,,,,,,,,,,,,,,,,,,,,,3,110,0,50,,,,
5754,10-ha,PortoAlegre,3209,857,A,6,,,,,,,,,,,,,,,,,,,,,,,,,3,42,0,3,3,56,0,
5754,10-ha,PortoAlegre,3209,951,A,6,,,,,,,,,,,,,,,,,5,80,0,3,6,74,1,,1,50,0,,1,50,0,
5754,10-ha,PortoAlegre,3209,959,A,6,,,,,,,,,,,,,,,,,1,22,0,3,2,26,0,,6,48,0,,8,79,0,
5754,10-ha,PortoAlegre,3209,974,A,6,,,,,,,,,,,,,,,,,1,12,0,1,1,14,0,,1,20,0,,2,60,0,
5754,10-ha,PortoAlegre,3209,980,A,6,,,,,,,,,,,,,,,,,1,15,0,1,1,22,0,,4,36,0,,2,27,0,
5754,10-ha,PortoAlegre,3209,1383,A,6,1,24,0,,2,32,0,,0,0,0,80,2,22,0,,6,31,0,,1,11,0,,1,24,0,,2,27,0,
5754,10-ha,PortoAlegre,3209,116,A,7,1,9,0,,1,8,0,,1,11,0,,,,,,2,19,0,,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,121,A,7,4,59,0,,3,55,0,,3,62,0,,5,81,1,,7,67,0,,,,,,2,98,0,,2,80,0,
5754,10-ha,PortoAlegre,3209,129,A,7,3,33,0,,2,36,0,,3,37,0,,4,50,0,,8,74,0,,4,54,1,,5,71,0,,2,28,0,
5754,10-ha,PortoAlegre,3209,134,A,7,3,65,0,,4,82,1,,6,60,0,,5,63,0,,12,69,0,,16,70,1,,12,83,0,,7,124,0,
5754,10-ha,PortoAlegre,3209,137,A,7,3,57,0,,4,58,0,,7,59,0,,14,59,0,,13,49,0,,3,70,0,,5,63,0,,3,70,0,
5754,10-ha,PortoAlegre,3209,148,A,7,2,15,0,,1,16,0,,1,23,0,,5,33,0,,7,69,0,,4,74,1,,6,68,0,,4,68,0,
5754,10-ha,PortoAlegre,3209,155,A,7,3,44,0,,4,36,0,,7,35,0,,7,42,0,,7,87,0,,3,73,0,,6,73,0,,2,29,0,
5754,10-ha,PortoAlegre,3209,191,A,7,1,20,0,,2,24,0,,3,28,0,,4,32,0,,7,29,0,,2,28,0,,2,38,0,,2,36,0,
5754,10-ha,PortoAlegre,3209,212,A,7,3,36,0,,2,32,0,,3,24,0,,8,21,0,,3,23,0,,2,24,0,,3,31,0,,2,32,0,
5754,10-ha,PortoAlegre,3209,218,A,7,5,60,0,,4,57,0,,6,49,0,,8,66,0,,12,73,0,,11,70,0,,8,80,0,,8,76,0,
5754,10-ha,PortoAlegre,3209,235,A,7,5,35,0,,3,55,0,,3,54,0,,5,55,0,,9,67,0,,2,80,0,,2,79,0,,4,92,0,
5754,10-ha,PortoAlegre,3209,241,A,7,3,26,0,,3,54,0,,4,43,0,,12,47,0,,13,65,0,,16,65,0,,17,98,0,,4,46,0,
5754,10-ha,PortoAlegre,3209,431,A,7,,,,,1,8,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,489,A,7,1,32,0,,2,34,0,,2,29,0,80,5,64,0,,6,75,0,90,0,0,0,2,,,,,,,,
5754,10-ha,PortoAlegre,3209,758,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,102,0,50
5754,10-ha,PortoAlegre,3209,759,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,94,0,50
5754,10-ha,PortoAlegre,3209,894,A,7,,,,,,,,,,,,,,,,,,,,,1,5,0,1,0,0,0,2,,,,
5754,10-ha,PortoAlegre,3209,898,A,7,,,,,,,,,,,,,,,,,,,,,3,26,0,3,2,22,0,,1,17,0,
5754,10-ha,PortoAlegre,3209,927,A,7,,,,,,,,,,,,,,,,,2,22,0,1,1,15,0,,1,13,0,,,,0,2
5754,10-ha,PortoAlegre,3209,933,A,7,,,,,,,,,,,,,,,,,3,100,0,,4,32,0,,2,127,0,,2,130,0,
5754,10-ha,PortoAlegre,3209,952,A,7,,,,,,,,,,,,,,,,,3,24,0,3,2,28,0,,2,22,0,,2,32,0,
5754,10-ha,PortoAlegre,3209,954,A,7,,,,,,,,,,,,,,,,,1,3,0,1,2,8,0,,0,0,0,2,,,,
5754,10-ha,PortoAlegre,3209,955,A,7,,,,,,,,,,,,,,,,,1,7,0,1,1,9,0,,,,,,,,,
5754,10-ha,PortoAlegre,3209,956,A,7,,,,,,,,,,,,,,,,,1,15,0,1,1,14,0,,1,10,0,,,,0,2
5754,10-ha,PortoAlegre,3209,958,A,7,,,,,,,,,,,,,,,,,1,15,0,1,1,25,0,,1,16,0,,1,25,0,
5754,10-ha,PortoAlegre,3209,961,A,7,,,,,,,,,,,,,,,,,1,14,0,1,1,2,0,,,,,,,,,
5754,10-ha,PortoAlegre,3209,962,A,7,,,,,,,,,,,,,,,,,2,21,0,1,2,18,0,,2,16,0,,1,28,0,
5754,10-ha,PortoAlegre,3209,963,A,7,,,,,,,,,,,,,,,,,1,10,0,1,0,0,0,2,,,,,,,,
5754,10-ha,PortoAlegre,3209,965,A,7,,,,,,,,,,,,,,,,,3,25,0,3,3,35,0,,1,46,0,,3,44,0,
5754,10-ha,PortoAlegre,3209,967,A,7,,,,,,,,,,,,,,,,,1,9,0,1,,,,,1,15,0,,1,15,0,
5754,10-ha,PortoAlegre,3209,971,A,7,,,,,,,,,,,,,,,,,1,7,0,1,1,7,0,,0,0,0,2,,,,
5754,10-ha,PortoAlegre,3209,973,A,7,,,,,,,,,,,,,,,,,1,6,0,1,1,7,0,,0,0,0,,,,0,
5754,10-ha,PortoAlegre,3209,981,A,7,,,,,,,,,,,,,,,,,2,18,0,3,2,19,0,,2,28,0,,2,27,0,
5754,10-ha,PortoAlegre,3209,982,A,7,,,,,,,,,,,,,,,,,1,5,0,1,0,0,0,2,,,,,,,,
5754,10-ha,PortoAlegre,3209,52,A,8,2,72,0,,4,66,0,,3,52,0,,5,78,0,,6,100,0,,0,0,1,,3,96,0,,3,89,0,
5754,10-ha,PortoAlegre,3209,142,A,8,3,49,0,,4,50,0,,4,59,0,,4,63,0,,6,70,0,,7,79,1,,5,66,0,,3,50,0,
5754,10-ha,PortoAlegre,3209,147,A,8,4,50,0,,2,45,0,,2,56,0,,3,74,0,,,,,,,,,,,,,,,,,
5754,10-ha,PortoAlegre,3209,154,A,8,2,41,0,,3,30,0,,3,38,0,,3,37,0,,6,40,0,,4,38,0,,4,51,0,,3,40,0,
5754,10-ha,PortoAlegre,3209,160,A,8,2,36,0,,2,27,0,,3,30,0,,3,22,0,,5,38,0,,3,42,0,,4,45,0,,4,38,0,
5754,10-ha,PortoAlegre,3209,164,A,8,3,71,0,,3,71,0,,4,29,0,,4,30,0,,6,29,0,,4,43,0,,9,55,0,,6,73,0,
5754,10-ha,PortoAlegre,3209,166,A,8,2,38,0,,2,30,0,,2,24,0,,2,25,0,,2,28,0,,3,50,0,,,,,,,,,
5754,10-ha,PortoAlegre,3209,172,A,8,1,55,0,,2,44,0,,3,38,0,,3,43,0,,4,42,0,,3,33,0,,3,33,0,,1,40,0,
5754,10-ha,PortoAlegre,3209,179,A,8,3,22,0,,2,24,0,,3,28,0,,1,15,0,,1,12,0,,2,15,0,,1,13,0,,1,13,0,
5754,10-ha,PortoAlegre,3209,210,A,8,2,77,0,,2,60,0,,3,52,0,,2,49,0,,5,47,0,,2,50,0,,1,49,0,,2,51,0,
5754,10-ha,PortoAlegre,3209,213,A,8,3,38,0,,2,44,0,,4,47,0,,6,40,0,,4,60,0,,4,42,0,,3,40,0,,3,40,0,
5754,10-ha,PortoAlegre,3209,215,A,8,3,69,0,,2,84,0,,3,75,0,,4,100,1,,5,68,0,,4,77,1,,0,0,0,,3,72,0,90
5754,10-ha,PortoAlegre,3209,625,A,8,1,57,0,,2,46,0,,2,44,0,,3,46,0,,4,61,0,,4,44,1,,3,38,0,90,,,,
5754,10-ha,PortoAlegre,3209,807,A,8,,,,,,,,,,,,,,,,,,,,,1,10,0,3,2,27,0,,2,27,0,
5754,10-ha,PortoAlegre,3209,851,A,8,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,1,1,12,0,
