tag_number,code.notes,new_code
817,", must have lost tag",no tag (50)
856,dead,dead (2)
770,"dead, not on list",dead (2)
430,missing,plant missing (60)
825,must be one of missing,plant missing (60)
1366,not on list,not on list (40)
318,not on list. must be313,not on list (40)
98,not on list. must be96,not on list (40)
46,pvc stake not on list,not on list (40)
860,sdlg,sdlg (1)
813,ULY?,ULY (3)
213,under branch,under branchfall (90)
814,"under branch, must have lost tag",under branchfall (90)
334,under fallen trunk,under treefall (80)
960,under treefall ,under treefall (80)
818,"under treefall , must have lost tag",under treefall (80)
859,under trunk,under treefall (80)
