PORTO ALEGRE 10 HA ,,,,,LEVANTAMENTO 2006,,,,,,
plantID,row,col,REB,ALT,06 NOTAS,row,col,num,REB,ALT,06 NOTAS
410,A,1,2,24,,,,,,,
652,A,1,1,13,,,,,,,
856,A,1,,,dead,,,,,,
1336,A,1,2,21,,,,,,,
300,A,2,2,60,,,,,,,
328,A,2,1,5,,,,,,,
413,A,2,,,dead,,,,,,
421,A,2,,,dead,,,,,,
425,A,2,3,31,,,,,,,
450,A,2,3,40,,,,,,,
473,A,2,1,20,,,,,,,
493,A,2,3,44,,,,,,,
897,A,2,1,12,,,,,,,
1391,A,2,2,32,,,,,,,
278,A,3,1,15,,,,,,,
392,A,3,2,32,,,,,,,
452,A,3,1,7,,,,,,,
477,A,3,2,27,,,,,,,
495,A,3,1,17,,,,,,,
601,A,3,1,13,,,,,,,
371,A,4,2,88,1 new infl,,,,,,
374,A,4,3,57,,,,,,,
376,A,4,1,42,,,,,,,
430,A,4,,,missing,,,,,,
436,A,4,,,missing,,,,,,
439,A,4,3,58,,,,,,,
475,A,4,1,12,,,,,,,
480,A,4,,,missing,,,,,,
484,A,4,1,15,,,,,,,
485,A,4,1,12,,,,,,,
494,A,4,1,24,,,,,,,
624,A,4,1,29,,,,,,,
640,A,4,2,23,,,,,,,
645,A,4,,,missing,,,,,,
650,A,4,3,71,,,,,,,
657,A,4,3,88,,,,,,,
659,A,4,3,38,,,,,,,
662,A,4,3,69,,,,,,,
668,A,4,2,30,,,,,,,
855,A,4,1,15,,,,,,,
1376,A,4,1,13,,,,,,,
245,A,5,10,70,3 old infl,,,,,,
262,A,5,5,64,,,,,,,
268,A,5,3,83,,,,,,,
270,A,5,2,38,,,,,,,
307,A,5,1,27,,,,,,,
315,A,5,4,68,,,,,,,
316,A,5,,,missing,,,,,,
320,A,5,3,49,,,,,,,
395,A,5,4,55,,,,,,,
444,A,5,5,91,,,,,,,
487,A,5,5,45,,,,,,,
769,A,5,2,25,,,,,,,
770,A,5,,,missing,,,,,,
810,A,5,5,57,,,,,,,
811,A,5,3,25,,,,,,,
813,A,5,4,115,actually in A6,,,,,,
814,A,5,6,60,actually in A6,,,,,,
854,A,5,7,80,actually in A6,,,,,,
895,A,5,2,12,,,,,,,
966,A,5,,,dead,,,,,,
977,A,5,1,18,,,,,,,
267,A,6,6,112,1 new infl,,,,,,
318,A,6,11,66,,,,,,,
319,A,6,4,110,,,,,,,
760,A,6,1,5,,,,,,,
808,A,6,,,missing,,,,,,
809,A,6,4,103,,,,,,,
853,A,6,,,missing,,,,,,
857,A,6,4,84,,,,,,,
951,A,6,4,45,,,,,,,
959,A,6,8,132,,,,,,,
974,A,6,2,67,,,,,,,
980,A,6,2,25,,,,,,,
1383,A,6,,,dead,,,,,,
121,A,7,2,69,,,,,,,
129,A,7,5,85,1 new infl,,,,,,
134,A,7,5,112,1 old infl,,,,,,
137,A,7,4,76,,,,,,,
148,A,7,2,66,,,,,,,
155,A,7,2,28,,,,,,,
191,A,7,3,51,,,,,,,
212,A,7,3,33,,,,,,,
218,A,7,4,75,,,,,,,
235,A,7,4,80,,,,,,,
241,A,7,7,63,,,,,,,
758,A,7,2,64,,,,,,,
759,A,7,2,71,,,,,,,
894,A,7,,,missing,,,,,,
898,A,7,1,10,,,,,,,
927,A,7,1,6,,,,,,,
933,A,7,4,93,,,,,,,
952,A,7,3,33,,,,,,,
954,A,7,,,missing,,,,,,
956,A,7,1,12,,,,,,,
958,A,7,4,20,,,,,,,
962,A,7,1,14,,,,,,,
965,A,7,2,40,,,,,,,
967,A,7,,,missing,,,,,,
971,A,7,,,missing,,,,,,
973,A,7,,,missing,,,,,,
981,A,7,2,33,,,,,,,
52,A,8,4,122,,,,,,,
142,A,8,5,59,,,,,,,
154,A,8,5,39,,,,,,,
160,A,8,3,53,,,,,,,
164,A,8,11,97,,,,,,,
172,A,8,2,56,,,,,,,
179,A,8,,,missing,,,,,,
210,A,8,2,50,,,,,,,
213,A,8,2,53,under branch,,,,,,
215,A,8,3,38,,,,,,,
625,A,8,2,64,,,,,,,
807,A,8,3,31,,,,,,,
851,A,8,1,13,,,,,,,
852,A,8,,,dead,,,,,,
858,A,8,3,23,under branch,,,,,,
859,A,8,1,19,under trunk,,,,,,
860,A,8,,,missing,,,,,,
867,A,8,5,49,,,,,,,
868,A,8,2,38,,,,,,,
869,A,8,,,missing,,,,,,
892,A,8,2,40,,,,,,,
901,A,8,,,missing,,,,,,
944,A,8,1,12,,,,,,,
957,A,8,,,missing,,,,,,
975,A,8,4,42,,,,,,,
87,A,9,5,60,,,,,,,
88,A,9,6,85,2 old infl ,,,,,,
89,A,9,1,12,,,,,,,
91,A,9,4,42,,,,,,,
102,A,9,7,46,,,,,,,
111,A,9,4,35,,,,,,,
112,A,9,6,87,1 old infl,,,,,,
132,A,9,4,33,,,,,,,
165,A,9,7,67,1 new infl,,,,,,
182,A,9,3,60,,,,,,,
196,A,9,5,57,,,,,,,
200,A,9,5,61,1 old infl,,,,,,
224,A,9,7,67,,,,,,,
231,A,9,4,43,,,,,,,
234,A,9,3,33,,,,,,,
240,A,9,3,89,under branch,,,,,,
423,A,9,1,20,,,,,,,
443,A,9,3,35,,,,,,,
802,A,9,1,12,,,,,,,
803,A,9,5,25,,,,,,,
804,A,9,3,38,,,,,,,
805,A,9,1,4,,,,,,,
806,A,9,6,90,,,,,,,
850,A,9,1,8,,,,,,,
861,A,9,,,dead,,,,,,
866,A,9,,,dead,,,,,,
891,A,9,2,25,,,,,,,
893,A,9,5,80,,,,,,,
899,A,9,2,17,,,,,,,
900,A,9,5,27,,,,,,,
926,A,9,2,11,,,,,,,
928,A,9,3,20,under branch,,,,,,
984,A,9,3,50,,,,,,,
103,A,10,6,63,,,,,,,
124,A,10,3,22,,,,,,,
136,A,10,3,26,,,,,,,
