plant_id,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plot_id,year,code,duplicate_tag,adult_no_tag,recorded_sdlg,treefall_status,condition,census_status,subplot
221,2107,1-ha,DIM,2107,228,C,7,FF-1,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,C7
146,2107,1-ha,DIM,2107,240,B,7,FF-1,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,B7
58,2107,1-ha,DIM,2107,244,A,7,FF-1,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,A7
174,2107,1-ha,DIM,2107,246,C,10,FF-1,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,C10
59,2107,1-ha,DIM,2107,255,A,7,FF-1,2001,ULY,NA,TRUE,FALSE,NA,NA,measured,A7
28,2107,1-ha,DIM,2107,262,A,3,FF-1,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A3
247,2107,1-ha,DIM,2107,275,C,9,FF-1,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,C9
324,2107,1-ha,DIM,2107,304,E,5,FF-1,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,E5
257,2107,1-ha,DIM,2107,306,D,10,FF-1,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,D10
294,2107,1-ha,DIM,2107,310,D,8,FF-1,2004,ULY,NA,TRUE,FALSE,NA,NA,measured,D8
304,2107,1-ha,DIM,2107,30,E,1,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E1
226,2107,1-ha,DIM,2107,35,C,8,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C8
277,2107,1-ha,DIM,2107,42,D,5,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,D5
101,2107,1-ha,DIM,2107,74,B,3,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B3
102,2107,1-ha,DIM,2107,77,B,3,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B3
69,2107,1-ha,DIM,2107,111,A,9,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
323,2107,1-ha,DIM,2107,123,E,5,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E5
141,2107,1-ha,DIM,2107,165,B,6,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B6
71,2107,1-ha,DIM,2107,215,A,9,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
21,2107,1-ha,DIM,2107,218,A,10,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,A10
190,2107,1-ha,DIM,2107,220,C,2,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C2
174,2107,1-ha,DIM,2107,246,C,10,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C10
126,2107,1-ha,DIM,2107,280,B,4,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B4
321,2107,1-ha,DIM,2107,303,E,4,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E4
325,2107,1-ha,DIM,2107,375,E,5,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E5
302,2107,1-ha,DIM,2107,387,D,9,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,D9
303,2107,1-ha,DIM,2107,391,D,9,FF-1,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,D9
421,2108,1-ha,DIM,2108,209,B,2,FF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,B2
