"habitat","plot_id","plot","tag_number","plant_id","row","column"
"CF","CF-2","5750",1401,1622,"G",6
"CF","CF-2","5750",1401,1726,"H",10
"10-ha","FF-7","5754",810,3889,"A",5
"10-ha","FF-7","5754",810,4455,"D",10
"10-ha","FF-7","5754",811,3890,"A",5
"10-ha","FF-7","5754",811,4786,"E",9
"10-ha","FF-7","5754",812,4125,"B",4
"10-ha","FF-7","5754",812,4563,"D",9
"10-ha","FF-7","5754",813,3891,"A",5
"10-ha","FF-7","5754",813,4006,"A",9
"10-ha","FF-7","5754",814,3892,"A",5
"10-ha","FF-7","5754",814,3962,"A",8
"10-ha","FF-7","5754",816,3963,"A",8
"10-ha","FF-7","5754",816,4312,"C",3
"10-ha","FF-7","5754",817,4209,"B",7
"10-ha","FF-7","5754",817,4434,"C",9
"10-ha","FF-7","5754",819,4211,"B",7
"10-ha","FF-7","5754",819,4238,"B",8
"10-ha","FF-7","5754",822,4186,"B",6
"10-ha","FF-7","5754",822,4530,"D",7
"10-ha","FF-7","5754",826,4216,"B",7
"10-ha","FF-7","5754",826,4342,"C",5
"10-ha","FF-7","5754",827,4262,"B",9
"10-ha","FF-7","5754",827,4343,"C",5
"10-ha","FF-7","5754",828,4158,"B",5
"10-ha","FF-7","5754",828,4041,"B",10
"10-ha","FF-7","5754",829,3893,"A",5
"10-ha","FF-7","5754",829,4378,"C",7
"10-ha","FF-7","5754",830,3894,"A",5
"10-ha","FF-7","5754",830,4362,"C",6
"10-ha","FF-7","5754",831,3895,"A",5
"10-ha","FF-7","5754",831,4564,"D",9
"10-ha","FF-7","5754",832,3865,"A",4
"10-ha","FF-7","5754",832,4547,"D",8
"10-ha","FF-7","5754",833,4126,"B",4
"10-ha","FF-7","5754",833,4531,"D",7
"10-ha","FF-7","5754",834,4127,"B",4
"10-ha","FF-7","5754",834,4532,"D",7
"10-ha","FF-7","5754",835,4509,"D",6
"10-ha","FF-7","5754",835,4646,"E",4
"10-ha","FF-7","5754",836,4444,"D",1
"10-ha","FF-7","5754",836,4504,"D",5
"10-ha","FF-7","5754",858,3966,"A",8
"10-ha","FF-7","5754",858,4787,"E",9
"10-ha","FF-7","5754",859,3967,"A",8
"10-ha","FF-7","5754",859,4435,"C",9
"10-ha","FF-7","5754",860,3968,"A",8
"10-ha","FF-7","5754",860,4008,"A",9
"CF","CF-3","5756",16,4960,"A",4
"CF","CF-3","5756",16,5054,"A",6
"CF","CF-3","5756",816,4946,"A",3
"CF","CF-3","5756",816,5879,"D",9
"CF","CF-6","CaboFrio-CF",194,6221,"A",8
"CF","CF-6","CaboFrio-CF",194,6359,"C",10
"CF","CF-1","Florestal-CF",1267,7615,"C",4
"CF","CF-1","Florestal-CF",1267,7996,"D",7
"CF","CF-1","Florestal-CF",1473,7101,"A",6
"CF","CF-1","Florestal-CF",1473,7399,"B",5
"CF","CF-1","Florestal-CF",1969,7724,"C",8
"CF","CF-1","Florestal-CF",1969,7727,"C",9
