HA_ID_Number,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plotID,year,code,notes,sdlg_status,duplicate_tag
217,2107,1-ha,DIM,2107,225,D,10,FF-1,2000,no tag,NA,NA,NA
220,2107,1-ha,DIM,2107,228,C,7,FF-1,2000,ULY,NA,NA,NA
232,2107,1-ha,DIM,2107,240,B,7,FF-1,2000,ULY,NA,NA,NA
236,2107,1-ha,DIM,2107,244,A,7,FF-1,2000,ULY,NA,NA,NA
238,2107,1-ha,DIM,2107,246,C,10,FF-1,2000,ULY,NA,NA,NA
247,2107,1-ha,DIM,2107,255,A,7,FF-1,2001,ULY,NA,NA,NA
254,2107,1-ha,DIM,2107,262,A,3,FF-1,2002,ULY,NA,NA,NA
267,2107,1-ha,DIM,2107,275,C,9,FF-1,2002,ULY,NA,NA,NA
271,2107,1-ha,DIM,2107,279,C,5,FF-1,2004,no tag,NA,NA,NA
278,2107,1-ha,DIM,2107,286,B,5,FF-1,2004,no tag,NA,NA,NA
294,2107,1-ha,DIM,2107,304,E,5,FF-1,2004,ULY,NA,NA,NA
296,2107,1-ha,DIM,2107,306,D,10,FF-1,2004,ULY,NA,NA,NA
300,2107,1-ha,DIM,2107,310,D,8,FF-1,2004,ULY,NA,NA,NA
306,2107,1-ha,DIM,2107,316,B,9,FF-1,2004,no tag,NA,NA,NA
29,2107,1-ha,DIM,2107,30,E,1,FF-1,2008,ULY,NA,NA,NA
34,2107,1-ha,DIM,2107,35,C,8,FF-1,2008,ULY,NA,NA,NA
41,2107,1-ha,DIM,2107,42,D,5,FF-1,2008,ULY,NA,NA,NA
70,2107,1-ha,DIM,2107,74,B,3,FF-1,2008,ULY,NA,NA,NA
73,2107,1-ha,DIM,2107,77,B,3,FF-1,2008,ULY,NA,NA,NA
107,2107,1-ha,DIM,2107,111,A,9,FF-1,2008,ULY,NA,NA,NA
118,2107,1-ha,DIM,2107,123,E,5,FF-1,2008,ULY,NA,NA,NA
158,2107,1-ha,DIM,2107,165,B,6,FF-1,2008,ULY,NA,NA,NA
207,2107,1-ha,DIM,2107,215,A,9,FF-1,2008,ULY,NA,NA,NA
210,2107,1-ha,DIM,2107,218,A,10,FF-1,2008,ULY,NA,NA,NA
212,2107,1-ha,DIM,2107,220,C,2,FF-1,2008,ULY,NA,NA,NA
238,2107,1-ha,DIM,2107,246,C,10,FF-1,2008,ULY,NA,NA,NA
272,2107,1-ha,DIM,2107,280,B,4,FF-1,2008,ULY,NA,NA,NA
293,2107,1-ha,DIM,2107,303,E,4,FF-1,2008,ULY,NA,NA,NA
307,2107,1-ha,DIM,2107,318,E,1,FF-1,2008,new plant in plot,NA,NA,NA
322,2107,1-ha,DIM,2107,375,E,5,FF-1,2008,ULY,NA,NA,NA
326,2107,1-ha,DIM,2107,383,A,9,FF-1,2008,new plant in plot,NA,NA,NA
