"plot","plotID","habitat","ranch","bdffp_reserve_no","HA_ID_Number","tag_number","row","column","x_09","y_09","year","ht","shts","code.notes","infl"
"2108","FF-2","1-ha","DIM","2108","363",26,"A","6","8.1",4.9,1999,34,3,"not on list (40)",0
"2108","FF-2","1-ha","DIM","2108","375",38,"B","4","0.5",6.4,1999,22,1,"not on list (40)",0
"2108","FF-2","1-ha","DIM","2108","615",332,"B","3","3.7",8.3,2008,13,1,"not on list (40)",NA
"2108","FF-2","1-ha","DIM","2108","616",333,"A","1","9.4",4.6,2008,15,2,"not on list (40)",NA
"2108","FF-2","1-ha","DIM","2108","638",365,"D","1","2.3",5.4,2009,17,2,"not on list (40)",NA
"2206","FF-5","10-ha","DIM","2206","690",45,"C","2","",NA,2004,27,2,"not on list (40)",0
"2206","FF-5","10-ha","DIM","2206","833",201,"B","7","",NA,2005,22,1,"not on list (40)",0
"2206","FF-5","10-ha","DIM","2206","905",275,"B","9","",NA,2005,23,2,"not on list (40)",0
"5750","CF-2","CF","EST","1501","974",101,"D","6","",NA,2004,0,NA,"dead not on list (100)",0
"5750","CF-2","CF","EST","1501","1523",668,"I","9","4.7",5.6,2004,13,1,"not on list (40)",0
"5750","CF-2","CF","EST","1501","1542",687,"C","9","1.6",4,2004,14,2,"not on list (40)",0
"5750","CF-2","CF","EST","1501","1721",867,"E","7","3.6",9.8,2003,113,4,"not on list (40)",1
"5751","FF-3","1-ha","EST","1104","2238",71,"A","5","",NA,2008,NA,NA,"not on list (40)",NA
"5751","FF-3","1-ha","EST","1104","2549",398,"E","5","4.6",5.5,2005,44,4,"not on list (40)",0
"5751","FF-3","1-ha","EST","1104","2552",401,"A","8","6.9",8.6,2008,16,1,"not on list (40)",NA
"5752","FF-6","10-ha","EST","1202","2666",95,"C","9","",NA,1999,16,2,"not on list (40)",0
"5752","FF-6","10-ha","EST","1202","3019",460,"B","6","",NA,2001,NA,NA,"dead not on list (100)",NA
"5752","FF-6","10-ha","EST","1202","3023",464,"B","6","",NA,2001,21,1,"not on list (40)",0
"5752","FF-6","10-ha","EST","1202","3054",495,"C","8","",NA,2001,43,3,"not on list (40)",0
"5753","FF-4","1-ha","PAL","3114","3425",28,"C","2","4.4",1.7,2008,30,2,"not on list (40)",NA
"5753","FF-4","1-ha","PAL","3114","3429",32,"B","10","",NA,2008,46,4,"not on list (40)",NA
"5753","FF-4","1-ha","PAL","3114","3436",39,"C","1","4.3",1,2008,72,3,"not on list (40)",NA
"5753","FF-4","1-ha","PAL","3114","3471",76,"B","10","",NA,2008,42,4,"not on list (40)",NA
"5753","FF-4","1-ha","PAL","3114","3491",97,"B","10","",NA,2008,18,1,"not on list (40)",NA
"5753","FF-4","1-ha","PAL","3114","3527",150,"A","4","3.7",0.2,1999,41,3,"not on list (40)",0
