habitat,plot,tag_number,row_col
1-ha,2107,237,C8
1-ha,2107,237,D6
1-ha,2108,17,A4
1-ha,2108,17,A7
1-ha,2108,66,C9
1-ha,2108,66,D10
1-ha,5751,358,A7
1-ha,5751,358,E7
1-ha,5751,365,C6
1-ha,5751,365,D5
1-ha,5751,401,A8
1-ha,5751,401,E7
1-ha,5753,319,D7
1-ha,5753,319,E10
1-ha,5753,320,A5
1-ha,5753,320,E10
1-ha,5753,363,B1
1-ha,5753,363,E10
10-ha,2206,270,B10
10-ha,2206,270,C10
10-ha,5752,181,B4
10-ha,5752,526,E7
10-ha,5752,566,E7
10-ha,5752,841,A5
10-ha,5752,841,C1
10-ha,5754,46,B4
10-ha,5754,46,E6
10-ha,5754,318,A6
10-ha,5754,318,D5
10-ha,5754,746,C5
10-ha,5754,746,D5
10-ha,5754,810,A5
10-ha,5754,810,D10
10-ha,5754,811,A5
10-ha,5754,811,E9
10-ha,5754,812,B4
10-ha,5754,812,D9
10-ha,5754,813,A5
10-ha,5754,813,A9
10-ha,5754,814,A5
10-ha,5754,814,A8
10-ha,5754,816,A8
10-ha,5754,816,C3
10-ha,5754,817,B7
10-ha,5754,817,C9
10-ha,5754,818,B7
10-ha,5754,819,B7
10-ha,5754,819,B8
10-ha,5754,820,B7
10-ha,5754,820,B8
10-ha,5754,821,B6
10-ha,5754,821,B8
10-ha,5754,822,B6
10-ha,5754,822,D7
10-ha,5754,823,B7
10-ha,5754,823,C7
10-ha,5754,824,B7
10-ha,5754,824,C7
10-ha,5754,825,B7
10-ha,5754,826,B7
10-ha,5754,826,C5
10-ha,5754,827,B9
10-ha,5754,827,C5
10-ha,5754,828,B10
10-ha,5754,828,B5
10-ha,5754,829,A5
10-ha,5754,829,C7
10-ha,5754,830,A5
10-ha,5754,830,C6
10-ha,5754,831,A5
10-ha,5754,831,D9
10-ha,5754,832,A4
10-ha,5754,832,D8
10-ha,5754,833,B4
10-ha,5754,833,D7
10-ha,5754,834,B4
10-ha,5754,834,D7
10-ha,5754,835,D6
10-ha,5754,835,E4
10-ha,5754,836,D1
10-ha,5754,836,D5
10-ha,5754,858,A8
10-ha,5754,858,E9
10-ha,5754,859,A8
10-ha,5754,859,C9
10-ha,5754,860,A8
10-ha,5754,860,A9
10-ha,5754,906,D7
10-ha,5754,906,E7
10-ha,5754,1305,B6
10-ha,5754,1305,B7
10-ha,5754,1329,C8
10-ha,5754,1329,C9
10-ha,5754,1366,B10
10-ha,5754,1366,B8
10-ha,5754,1387,B7
10-ha,5754,1387,D7
10-ha,5754,NA,A1
10-ha,5754,NA,A8
10-ha,5754,NA,B6
10-ha,5754,NA,B7
10-ha,5754,NA,C7
10-ha,5754,NA,D7
CF,5750,236,G9
CF,5750,236,H9
CF,5750,988,C8
CF,5750,988,D10
CF,5750,1401,G6
CF,5750,1401,H10
CF,5750,2022,H9
CF,5750,2022,J8
CF,5756,16,A4
CF,5756,16,A6
CF,5756,29,E2
CF,5756,29,E3
CF,5756,659,A1
CF,5756,659,A3
CF,5756,816,A3
CF,5756,816,D9
CF,5756,929,B6
CF,5756,929,C8
CF,5756,976,B7
CF,5756,976,C7
CF,5756,1276,B1
CF,5756,1276,B2
CF,5756,1279,D3
CF,5756,1279,D6
CF,5756,1602,A5
CF,5756,1602,A9
CF,5756,1655,B8
CF,5756,1686,E2
CF,5756,1789,A5
CF,5756,1789,C2
CF,CaboFrio-CF,194,A8
CF,CaboFrio-CF,194,C10
CF,CaboFrio-CF,2115,D5
CF,CaboFrio-CF,2115,D9
CF,CaboFrio-CF,2121,E10
CF,Dimona-CF,90,D10
CF,Dimona-CF,90,E9
CF,Dimona-CF,185,D7
CF,Dimona-CF,185,E8
CF,Dimona-CF,196,C8
CF,Dimona-CF,196,D6
CF,Dimona-CF,197,E10
CF,Dimona-CF,197,E8
CF,Florestal-CF,576,D2
CF,Florestal-CF,576,E1
CF,Florestal-CF,1267,C4
CF,Florestal-CF,1267,D7
CF,Florestal-CF,1473,A6
CF,Florestal-CF,1473,B5
CF,Florestal-CF,1969,C8
CF,Florestal-CF,1969,C9
CF,PortoAlegre-CF,264,B9
CF,PortoAlegre-CF,264,C10
CF,PortoAlegre-CF,356,B6
CF,PortoAlegre-CF,356,D5
