"plot","size","tag_number","year","row_col","shts","ht","code.notes"
"2107","1-ha",237,2000,"C8",1,6,"sdlg (1)"
"2107","1-ha",237,2007,"C8",NA,NA,NA
"2107","1-ha",237,2008,"C8",NA,NA,NA
"2107","1-ha",237,2009,"C8",NA,NA,NA
"2107","1-ha",237,2000,"D6",NA,NA,NA
"2107","1-ha",237,2007,"D6",1,12,"sdlg (1)"
"2107","1-ha",237,2008,"D6",1,22,NA
"2107","1-ha",237,2009,"D6",4,29,NA
"2108","1-ha",66,1998,"C9",1,26,NA
"2108","1-ha",66,1999,"C9",NA,NA,"plant missing (60)"
"2108","1-ha",66,2000,"C9",2,21,NA
"2108","1-ha",66,2001,"C9",4,24,NA
"2108","1-ha",66,2002,"C9",4,66,NA
"2108","1-ha",66,2005,"C9",5,100,NA
"2108","1-ha",66,2006,"C9",5,110,NA
"2108","1-ha",66,1998,"D10",NA,NA,NA
"2108","1-ha",66,1999,"D10",1,13,"sdlg (1)"
"2108","1-ha",66,2000,"D10",NA,NA,"dead (2)"
"2108","1-ha",66,2001,"D10",NA,NA,NA
"2108","1-ha",66,2002,"D10",NA,NA,NA
"2108","1-ha",66,2005,"D10",NA,NA,NA
"2108","1-ha",66,2006,"D10",NA,NA,NA
"5750","CF",988,2005,"C8",NA,NA,NA
"5750","CF",988,2006,"C8",NA,NA,NA
"5750","CF",988,2007,"C8",3,38,NA
"5750","CF",988,2008,"C8",2,60,NA
"5750","CF",988,2009,"C8",3,66,NA
"5750","CF",988,2004,"D10",1,10,"sdlg (1)"
"5750","CF",988,2005,"D10",2,14,NA
"5750","CF",988,2006,"D10",3,50,NA
"5750","CF",988,2007,"D10",NA,NA,"plant missing (60)"
"5750","CF",988,2008,"D10",NA,NA,NA
"5750","CF",988,2009,"D10",NA,NA,NA
"5750","CF",1401,2006,"G6",1,5,"sdlg (1)"
"5750","CF",1401,2006,"H10",1,8,"sdlg (1)"
"5750","CF",2022,2007,"H9",1,8,"sdlg (1)"
"5750","CF",2022,2008,"H9",NA,NA,NA
"5750","CF",2022,2009,"H9",1,10,NA
"5750","CF",2022,2007,"J8",1,7,"sdlg (1)"
"5750","CF",2022,2008,"J8",NA,NA,NA
"5750","CF",2022,2009,"J8",NA,NA,NA
