"HA.plot","plot","habitat","HA_ID_Number","tag_number","year","row_col","shts","ht","code.notes"
"FF-7","5754","10-ha",4714,746,2006,"C5",1,20,"not on list (40)"
"FF-7","5754","10-ha",6125,746,2004,"D5",1,14,NA
"FF-7","5754","10-ha",6126,746,2005,"D5",1,12,NA
"FF-7","5754","10-ha",6127,746,2006,"D5",1,22,NA
"FF-7","5754","10-ha",717,810,2003,"A5",2,25,"no tag (50)"
"FF-7","5754","10-ha",718,810,2004,"A5",3,36,NA
"FF-7","5754","10-ha",719,810,2005,"A5",3,55,"under branchfall (90)"
"FF-7","5754","10-ha",720,810,2006,"A5",5,57,NA
"FF-7","5754","10-ha",5722,810,2006,"D10",1,10,"sdlg (1)"
"FF-7","5754","10-ha",726,811,2003,"A5",3,28,"no tag (50)"
"FF-7","5754","10-ha",727,811,2004,"A5",2,30,NA
"FF-7","5754","10-ha",728,811,2005,"A5",3,30,NA
"FF-7","5754","10-ha",729,811,2006,"A5",3,25,NA
"FF-7","5754","10-ha",8620,811,2006,"E9",2,38,"could be one of missing"
"FF-7","5754","10-ha",735,814,2003,"A5",6,25,NA
"FF-7","5754","10-ha",736,814,2004,"A5",5,61,NA
"FF-7","5754","10-ha",737,814,2005,"A5",4,57,NA
"FF-7","5754","10-ha",738,814,2006,"A5",6,60,"actually in A6"
"FF-7","5754","10-ha",1368,814,2006,"A8",2,22,"under branchfall (90)"
"FF-7","5754","10-ha",3537,817,2006,"B7",2,43,"no tag (50)"
"FF-7","5754","10-ha",5534,817,1998,"C9",3,46,NA
"FF-7","5754","10-ha",5535,817,1999,"C9",4,74,NA
"FF-7","5754","10-ha",5536,817,2000,"C9",4,82,NA
"FF-7","5754","10-ha",5537,817,2001,"C9",5,70,NA
"FF-7","5754","10-ha",5539,817,2003,"C9",4,71,NA
"FF-7","5754","10-ha",5540,817,2004,"C9",6,72,NA
"FF-7","5754","10-ha",5541,817,2005,"C9",4,56,NA
"FF-7","5754","10-ha",5542,817,2006,"C9",3,65,NA
"FF-7","5754","10-ha",3548,818,2003,"B7",3,70,"ULY (3)"
"FF-7","5754","10-ha",3549,818,2003,"B7",3,70,"ULY (3)"
"FF-7","5754","10-ha",3550,818,2004,"B7",4,93,NA
"FF-7","5754","10-ha",3551,818,2004,"B7",4,93,NA
"FF-7","5754","10-ha",3552,818,2005,"B7",4,80,NA
"FF-7","5754","10-ha",3553,818,2005,"B7",4,80,NA
"FF-7","5754","10-ha",3554,818,2006,"B7",2,50,"under treefall (80)"
"FF-7","5754","10-ha",3560,819,2003,"B7",2,17,"ULY (3)"
"FF-7","5754","10-ha",3561,819,2004,"B7",2,25,NA
"FF-7","5754","10-ha",3562,819,2005,"B7",2,30,NA
"FF-7","5754","10-ha",3563,819,2006,"B7",1,31,NA
"FF-7","5754","10-ha",3814,819,2006,"B8",1,10,"plant missing (60)"
"FF-7","5754","10-ha",3569,820,2003,"B7",1,20,"ULY (3)"
"FF-7","5754","10-ha",3570,820,2004,"B7",2,24,NA
