HA_ID_Number,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plotID,year,code,notes,sdlg_status,duplicate_tag
7941,5754,10-ha,PortoAlegre,3209,290,E,4,FF-7,2006,NA,1 new infl + 1 old infl,NA,NA
8009,5754,10-ha,PortoAlegre,3209,357,E,4,FF-7,2006,NA,1 new infl + 1 old infl,NA,NA
7766,5754,10-ha,PortoAlegre,3209,112,A,9,FF-7,2006,NA,1 old infl,NA,NA
7797,5754,10-ha,PortoAlegre,3209,144,C,9,FF-7,2006,NA,1 old infl,NA,NA
7805,5754,10-ha,PortoAlegre,3209,152,B,9,FF-7,2006,NA,1 old infl,NA,NA
7851,5754,10-ha,PortoAlegre,3209,200,A,9,FF-7,2006,NA,1 old infl,NA,NA
7940,5754,10-ha,PortoAlegre,3209,289,E,4,FF-7,2006,NA,1 old infl,NA,NA
8017,5754,10-ha,PortoAlegre,3209,365,E,4,FF-7,2006,NA,1 old infl,NA,NA
8098,5754,10-ha,PortoAlegre,3209,445,C,3,FF-7,2006,NA,1 old infl,NA,NA
8189,5754,10-ha,PortoAlegre,3209,632,C,3,FF-7,2006,NA,1 old infl,NA,NA
8336,5754,10-ha,PortoAlegre,3209,778,C,6,FF-7,2006,NA,1 old infl,NA,NA
8339,5754,10-ha,PortoAlegre,3209,781,C,3,FF-7,2006,NA,1 old infl,NA,NA
7925,5754,10-ha,PortoAlegre,3209,274,B,6,FF-7,2006,NA,2 old infl,NA,NA
8027,5754,10-ha,PortoAlegre,3209,375,E,4,FF-7,2006,NA,2 old infl,NA,NA
8378,5754,10-ha,PortoAlegre,3209,816,C,3,FF-7,2006,NA,2 old infl,NA,duplicate tag number
2,2107,1-ha,DIM,2107,2,C,7,FF-1,1999,under branchfall,NA,NA,NA
10,2107,1-ha,DIM,2107,10,C,5,FF-1,1999,under branchfall,NA,NA,NA
51,2107,1-ha,DIM,2107,52,D,7,FF-1,1999,under branchfall,NA,NA,NA
102,2107,1-ha,DIM,2107,106,B,10,FF-1,1999,under branchfall,NA,NA,NA
125,2107,1-ha,DIM,2107,131,A,5,FF-1,2001,under branchfall,NA,NA,NA
16,2107,1-ha,DIM,2107,16,C,9,FF-1,2002,under branchfall,NA,NA,NA
34,2107,1-ha,DIM,2107,35,C,8,FF-1,2002,under branchfall,NA,NA,NA
40,2107,1-ha,DIM,2107,41,E,4,FF-1,2002,under branchfall,NA,NA,NA
54,2107,1-ha,DIM,2107,55,C,7,FF-1,2002,under branchfall,NA,NA,NA
71,2107,1-ha,DIM,2107,75,B,5,FF-1,2002,under branchfall,NA,NA,NA
79,2107,1-ha,DIM,2107,83,B,4,FF-1,2002,under branchfall,NA,NA,NA
90,2107,1-ha,DIM,2107,94,B,3,FF-1,2002,under branchfall,NA,NA,NA
93,2107,1-ha,DIM,2107,97,B,9,FF-1,2002,under branchfall,NA,NA,NA
103,2107,1-ha,DIM,2107,107,E,9,FF-1,2002,under branchfall,NA,NA,NA
106,2107,1-ha,DIM,2107,110,E,1,FF-1,2002,under branchfall,NA,NA,NA
110,2107,1-ha,DIM,2107,114,B,4,FF-1,2002,under branchfall,NA,NA,NA
135,2107,1-ha,DIM,2107,142,B,10,FF-1,2002,under branchfall,NA,NA,NA
191,2107,1-ha,DIM,2107,199,B,9,FF-1,2002,under branchfall,NA,NA,NA
238,2107,1-ha,DIM,2107,246,C,10,FF-1,2002,under branchfall,NA,NA,NA
28,2107,1-ha,DIM,2107,29,A,9,FF-1,2004,under branchfall,NA,NA,NA
35,2107,1-ha,DIM,2107,36,C,1,FF-1,2004,under branchfall,NA,NA,NA
131,2107,1-ha,DIM,2107,138,E,9,FF-1,2004,under branchfall,NA,NA,NA
155,2107,1-ha,DIM,2107,162,C,10,FF-1,2004,under branchfall,NA,NA,NA
171,2107,1-ha,DIM,2107,178,C,5,FF-1,2004,under treefall,NA,NA,NA
309,2107,1-ha,DIM,2107,326,C,5,FF-1,2004,under treefall,NA,NA,NA
33,2107,1-ha,DIM,2107,34,A,7,FF-1,2005,under branchfall,NA,NA,NA
79,2107,1-ha,DIM,2107,83,B,4,FF-1,2005,under branchfall,NA,NA,NA
89,2107,1-ha,DIM,2107,93,A,9,FF-1,2005,under branchfall,NA,NA,NA
103,2107,1-ha,DIM,2107,107,E,9,FF-1,2005,under branchfall,NA,NA,NA
106,2107,1-ha,DIM,2107,110,E,1,FF-1,2005,under branchfall,NA,NA,NA
243,2107,1-ha,DIM,2107,251,B,10,FF-1,2005,under branchfall,NA,NA,NA
304,2107,1-ha,DIM,2107,314,B,10,FF-1,2005,under branchfall,NA,NA,NA
8,2107,1-ha,DIM,2107,8,B,6,FF-1,2006,under branchfall,NA,NA,NA
13,2107,1-ha,DIM,2107,13,A,7,FF-1,2006,under branchfall,NA,NA,NA
112,2107,1-ha,DIM,2107,117,C,6,FF-1,2006,under branchfall,NA,NA,NA
121,2107,1-ha,DIM,2107,126,A,4,FF-1,2006,under branchfall,NA,NA,NA
137,2107,1-ha,DIM,2107,144,B,9,FF-1,2006,under branchfall,NA,NA,NA
188,2107,1-ha,DIM,2107,196,B,3,FF-1,2006,under branchfall,NA,NA,NA
208,2107,1-ha,DIM,2107,216,A,9,FF-1,2006,under branchfall,NA,NA,NA
268,2107,1-ha,DIM,2107,276,C,10,FF-1,2006,under branchfall,NA,NA,NA
283,2107,1-ha,DIM,2107,293,C,8,FF-1,2006,under branchfall,NA,NA,NA
115,2107,1-ha,DIM,2107,120,A,6,FF-1,2007,under branchfall,NA,NA,NA
121,2107,1-ha,DIM,2107,126,A,4,FF-1,2007,under branchfall,NA,NA,NA
155,2107,1-ha,DIM,2107,162,C,10,FF-1,2008,under branchfall,NA,NA,NA
356,2108,1-ha,DIM,2108,19,C,10,FF-2,2001,under treefall,NA,NA,NA
356,2108,1-ha,DIM,2108,19,C,10,FF-2,2002,under treefall,NA,NA,NA
358,2108,1-ha,DIM,2108,21,E,8,FF-2,2002,under litter,NA,NA,NA
365,2108,1-ha,DIM,2108,28,E,7,FF-2,2002,under branchfall,NA,NA,NA
419,2108,1-ha,DIM,2108,84,D,9,FF-2,2002,under branchfall,NA,NA,NA
446,2108,1-ha,DIM,2108,125,A,1,FF-2,2002,under branchfall,NA,NA,NA
452,2108,1-ha,DIM,2108,136,A,1,FF-2,2002,under branchfall,NA,NA,NA
453,2108,1-ha,DIM,2108,137,B,9,FF-2,2002,under branchfall,NA,NA,NA
494,2108,1-ha,DIM,2108,197,D,1,FF-2,2002,under branchfall,NA,NA,NA
517,2108,1-ha,DIM,2108,228,A,9,FF-2,2002,under branchfall,NA,NA,NA
464,2108,1-ha,DIM,2108,150,C,2,FF-2,2003,under branchfall,NA,NA,NA
344,2108,1-ha,DIM,2108,8,E,7,FF-2,2004,under branchfall,NA,NA,NA
356,2108,1-ha,DIM,2108,19,C,10,FF-2,2004,under treefall,NA,NA,NA
466,2108,1-ha,DIM,2108,152,B,3,FF-2,2004,under branchfall,NA,NA,NA
516,2108,1-ha,DIM,2108,227,C,8,FF-2,2004,under treefall,NA,NA,NA
538,2108,1-ha,DIM,2108,249,C,8,FF-2,2004,under treefall,NA,NA,NA
363,2108,1-ha,DIM,2108,26,A,6,FF-2,2005,under branchfall,NA,NA,NA
372,2108,1-ha,DIM,2108,35,A,8,FF-2,2005,under branchfall,NA,NA,NA
381,2108,1-ha,DIM,2108,46,A,1,FF-2,2005,under branchfall,NA,NA,NA
393,2108,1-ha,DIM,2108,58,E,9,FF-2,2005,under branchfall,NA,NA,NA
417,2108,1-ha,DIM,2108,82,E,9,FF-2,2005,under branchfall,NA,NA,NA
426,2108,1-ha,DIM,2108,92,C,6,FF-2,2005,under branchfall,NA,NA,NA
508,2108,1-ha,DIM,2108,216,A,7,FF-2,2005,under branchfall,NA,NA,NA
520,2108,1-ha,DIM,2108,231,D,1,FF-2,2005,under branchfall,NA,NA,NA
575,2108,1-ha,DIM,2108,290,C,1,FF-2,2005,under branchfall,NA,NA,NA
582,2108,1-ha,DIM,2108,297,B,10,FF-2,2005,under branchfall,NA,NA,NA
425,2108,1-ha,DIM,2108,91,A,9,FF-2,2006,under branchfall,NA,NA,NA
508,2108,1-ha,DIM,2108,216,A,7,FF-2,2006,under branchfall,NA,NA,NA
362,2108,1-ha,DIM,2108,25,D,4,FF-2,2007,under branchfall,NA,NA,NA
459,2108,1-ha,DIM,2108,143,B,2,FF-2,2007,under branchfall,NA,NA,NA
417,2108,1-ha,DIM,2108,82,E,9,FF-2,2008,under branchfall,NA,NA,NA
