plot,ranch,habitat,bdffp_no,year,old_tag_no,new_tag_number,notes
CF-1,esteio,forest,1301,2006,1027,1257,
CF-1,esteio,forest,1301,2006,1027,1257,
CF-1,esteio,forest,1301,2007,121,1570,
CF-1,esteio,forest,1301,2007,159,1581,
CF-1,esteio,forest,1301,2009,174,1912,
CF-1,esteio,forest,1301,2001,19,1036,
CF-1,esteio,forest,1301,2006,257,1273,
CF-1,esteio,forest,1301,2006,257,1273,
CF-1,esteio,forest,1301,2001,277,1004,
CF-1,esteio,forest,1301,2002,424,1118,
CF-1,esteio,forest,1301,2000,435,930,
CF-1,esteio,forest,1301,2007,48,1294,
CF-1,esteio,forest,1301,2000,480,904,
CF-1,esteio,forest,1301,2001,608,1077,
CF-1,esteio,forest,1301,2002,920,1442,
CF-2,esteio,forest,1501,2004,103,1395,
CF-2,esteio,forest,1501,2004,104,989,
CF-2,esteio,forest,1501,2004,104,1332,
CF-2,esteio,forest,1501,2001,107,717,
CF-2,esteio,forest,1501,2004,11,1305,
CF-2,esteio,forest,1501,2004,111,1341,
CF-2,esteio,forest,1501,2004,116,1306,
CF-2,esteio,forest,1501,2004,12,1307,
CF-2,esteio,forest,1501,2004,126,1130,
CF-2,esteio,forest,1501,2004,128,1334,
CF-2,esteio,forest,1501,2004,13,996,996: one in h7 and one in d7
CF-2,esteio,forest,1501,2006,1312,1416,
CF-2,esteio,forest,1501,2006,1333,1404,
CF-2,esteio,forest,1501,2006,1335,1414,
CF-2,esteio,forest,1501,2006,1381,1391,
CF-2,esteio,forest,1501,2004,15,977,
CF-2,esteio,forest,1501,2004,16,893,
CF-2,esteio,forest,1501,2000,160,673,
CF-2,esteio,forest,1501,2004,17,1309,
CF-2,esteio,forest,1501,2004,18,979,
CF-2,esteio,forest,1501,2004,19,1321,
CF-2,esteio,forest,1501,2004,2,956,
CF-2,esteio,forest,1501,2004,20,995,
CF-2,esteio,forest,1501,2004,21,973,
CF-2,esteio,forest,1501,2004,22,1301,
CF-2,esteio,forest,1501,2004,23,912,
CF-2,esteio,forest,1501,2004,24,945,
CF-2,esteio,forest,1501,2007,247,2066,
CF-2,esteio,forest,1501,2004,25,930,
CF-2,esteio,forest,1501,2004,26,957,
CF-2,esteio,forest,1501,2004,27,955,
CF-2,esteio,forest,1501,2004,28,874,
CF-2,esteio,forest,1501,2004,3,998,
CF-2,esteio,forest,1501,2004,30,904,
CF-2,esteio,forest,1501,2004,31,889,
CF-2,esteio,forest,1501,2004,32,913,
CF-2,esteio,forest,1501,2006,342,1425,
CF-2,esteio,forest,1501,2000,349,575,
CF-2,esteio,forest,1501,2007,36,2018,
CF-2,esteio,forest,1501,2007,36,2018,
CF-2,esteio,forest,1501,2004,37,939,
CF-2,esteio,forest,1501,2004,38,899,
CF-2,esteio,forest,1501,2004,4,1317,
CF-2,esteio,forest,1501,2004,41,921,
CF-2,esteio,forest,1501,2004,42,879,
CF-2,esteio,forest,1501,2004,43,875,
CF-2,esteio,forest,1501,2004,44,961,
CF-2,esteio,forest,1501,2004,45,878,
CF-2,esteio,forest,1501,2004,46,884,
CF-2,esteio,forest,1501,2006,465,1436,
CF-2,esteio,forest,1501,2006,468,1415,
CF-2,esteio,forest,1501,2004,48,906,
CF-2,esteio,forest,1501,2004,5,962,
CF-2,esteio,forest,1501,2004,50,935,
CF-2,esteio,forest,1501,2004,51,986,
