HA.plot,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,year,ht,shts,infl,code.notes.x
FF-7,5754,10-ha,PortoAlegre,3209,46,B,4,1998,112,2,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,E,6,1998,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,B,4,1999,0,0,0,under treefall (80)
FF-7,5754,10-ha,PortoAlegre,3209,46,E,6,1999,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,B,4,2000,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,E,6,2000,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,B,4,2001,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,E,6,2001,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,B,4,2002,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,E,6,2002,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,B,4,2003,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,E,6,2003,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,B,4,2004,35,5,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,E,6,2004,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,B,4,2005,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,E,6,2005,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,46,B,4,2006,NA,NA,NA,this number belongs to a pvc in a6
FF-7,5754,10-ha,PortoAlegre,3209,46,E,6,2006,53,3,NA,not on list (40)
FF-7,5754,10-ha,PortoAlegre,3209,88,A,9,1998,42,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,88,A,9,1999,41,2,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,88,A,9,2000,35,3,0,under branchfall (90)
FF-7,5754,10-ha,PortoAlegre,3209,88,A,9,2001,34,2,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,88,A,9,2002,38,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,88,A,9,2003,42,4,1,NA
FF-7,5754,10-ha,PortoAlegre,3209,88,A,9,2004,46,7,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,88,A,9,2005,47,6,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,88,A,9,2006,85,6,NA,2 old infl 
FF-7,5754,10-ha,PortoAlegre,3209,98,E,8,1998,48,2,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,98,E,8,1999,56,2,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,98,E,8,2000,53,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,98,E,8,2001,71,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,98,E,8,2002,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,98,E,8,2003,55,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,98,E,8,2004,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,98,E,8,2005,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,98,E,8,2006,92,4,NA,not on list (40)
FF-7,5754,10-ha,PortoAlegre,3209,134,A,7,1998,65,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,134,A,7,1999,82,4,1,NA
FF-7,5754,10-ha,PortoAlegre,3209,134,A,7,2000,60,6,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,134,A,7,2001,63,5,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,134,A,7,2002,69,12,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,134,A,7,2003,70,16,1,NA
FF-7,5754,10-ha,PortoAlegre,3209,134,A,7,2004,83,12,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,134,A,7,2005,124,7,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,134,A,7,2006,112,5,NA,1 old infl
FF-7,5754,10-ha,PortoAlegre,3209,171,B,7,1998,37,2,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,171,B,7,1999,42,4,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,171,B,7,2000,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,171,B,7,2001,52,6,3,NA
FF-7,5754,10-ha,PortoAlegre,3209,171,B,7,2002,88,10,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,171,B,7,2003,105,12,5,NA
FF-7,5754,10-ha,PortoAlegre,3209,171,B,7,2004,105,14,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,171,B,7,2005,98,11,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,171,B,7,2006,79,5,NA,1 new infl + 1 old infl
FF-7,5754,10-ha,PortoAlegre,3209,243,E,7,1998,55,4,1,NA
FF-7,5754,10-ha,PortoAlegre,3209,243,E,7,1999,53,6,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,243,E,7,2000,45,4,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,243,E,7,2001,43,4,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,243,E,7,2002,40,4,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,243,E,7,2003,38,2,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,243,E,7,2004,52,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,243,E,7,2005,43,4,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,243,E,7,2006,54,1,NA,e E6
FF-7,5754,10-ha,PortoAlegre,3209,245,A,5,1998,63,4,1,NA
FF-7,5754,10-ha,PortoAlegre,3209,245,A,5,1999,50,5,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,245,A,5,2000,30,1,0,under treefall (80)
FF-7,5754,10-ha,PortoAlegre,3209,245,A,5,2001,59,4,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,245,A,5,2002,58,6,1,NA
FF-7,5754,10-ha,PortoAlegre,3209,245,A,5,2003,37,5,1,NA
FF-7,5754,10-ha,PortoAlegre,3209,245,A,5,2004,60,7,2,NA
FF-7,5754,10-ha,PortoAlegre,3209,245,A,5,2005,94,10,1,NA
FF-7,5754,10-ha,PortoAlegre,3209,245,A,5,2006,70,10,NA,3 old infl
FF-7,5754,10-ha,PortoAlegre,3209,272,C,3,1998,31,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,272,C,3,1999,43,4,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,272,C,3,2000,52,5,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,272,C,3,2001,58,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,272,C,3,2002,102,8,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,272,C,3,2003,55,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,272,C,3,2004,81,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,272,C,3,2005,51,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,272,C,3,2006,50,2,NA,its in C2
FF-7,5754,10-ha,PortoAlegre,3209,318,A,6,1998,19,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,D,5,1998,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,A,6,1999,20,2,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,D,5,1999,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,A,6,2000,0,0,0,under treefall (80)
FF-7,5754,10-ha,PortoAlegre,3209,318,D,5,2000,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,A,6,2001,20,2,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,D,5,2001,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,A,6,2002,29,5,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,D,5,2002,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,A,6,2003,27,6,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,D,5,2003,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,A,6,2004,42,11,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,D,5,2004,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,A,6,2005,60,19,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,D,5,2005,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,A,6,2006,66,11,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,318,D,5,2006,24,2,NA,not on list (40)
FF-7,5754,10-ha,PortoAlegre,3209,371,A,4,1998,31,1,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,371,A,4,1999,24,2,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,371,A,4,2000,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,371,A,4,2001,NA,NA,NA,NA
FF-7,5754,10-ha,PortoAlegre,3209,371,A,4,2002,84,6,1,NA
FF-7,5754,10-ha,PortoAlegre,3209,371,A,4,2003,85,2,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,371,A,4,2004,107,6,1,NA
FF-7,5754,10-ha,PortoAlegre,3209,371,A,4,2005,100,5,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,371,A,4,2006,88,2,NA,1 new infl
FF-7,5754,10-ha,PortoAlegre,3209,382,C,5,1998,47,3,0,NA
FF-7,5754,10-ha,PortoAlegre,3209,382,C,6,1998,NA,NA,NA,NA
