tag_number,code.notes
817,", must have lost tag"
297,sdlg (1)
4,1 new infl
171,1 new infl + 1 old infl
112,1 old infl
39,dead (2)
88,2 old infl 
816,2 old infls
36,ULY (3)
245,3 old infl
18,not on list (40)
10,no tag (50)
180,plant missing (60)
17,under treefall (80)
17,under branchfall (90)
780,actualkly in c8
845,actually  B5
813,actually in A6
836,could be 1333
835,could be 378
812,could be 680?
811,could be one of missing
161,dead
770,"dead, not on list"
243,e E6
272,its in C2
93,missing
819,must be one of missing
746,not on list
318,not on list. must be313
98,not on list. must be96
46,pvc stake not on list
810,sdlg
382,should be c5
46,this number belongs to a pvc in a6
813,ULY?
76,under branch
814,"under branch, must have lost tag"
202,under fallen trunk
960,under treefall 
818,"under treefall , must have lost tag"
859,under trunk
