"plot","habitat","tag_number","year","shts","ht","code.notes"
"2107","1-ha",237,2000,1,6,"sdlg (1)"
"2107","1-ha",237,2000,NA,NA,NA
"2107","1-ha",237,2001,NA,NA,"dead (2)"
"2107","1-ha",237,2001,NA,NA,NA
"2107","1-ha",237,2002,NA,NA,NA
"2107","1-ha",237,2002,NA,NA,NA
"2107","1-ha",237,2003,NA,NA,NA
"2107","1-ha",237,2003,NA,NA,NA
"2107","1-ha",237,2004,NA,NA,NA
"2107","1-ha",237,2004,NA,NA,NA
"2107","1-ha",237,2005,NA,NA,NA
"2107","1-ha",237,2005,NA,NA,NA
"2107","1-ha",237,2006,NA,NA,NA
"2107","1-ha",237,2006,NA,NA,NA
"2107","1-ha",237,2007,NA,NA,NA
"2107","1-ha",237,2007,1,12,"sdlg (1)"
"2107","1-ha",237,2008,NA,NA,NA
"2107","1-ha",237,2008,1,22,NA
"2107","1-ha",237,2009,NA,NA,NA
"2107","1-ha",237,2009,4,29,NA
"2107","1-ha",282,2004,1,5,"sdlg (1)"
"2107","1-ha",282,2005,4,81,NA
"2107","1-ha",282,2006,NA,NA,"dead (2)"
"2107","1-ha",282,2007,1,18,NA
"2107","1-ha",282,2008,1,19,NA
"2107","1-ha",282,2009,2,12,NA
"2108","1-ha",66,1998,1,26,NA
"2108","1-ha",66,1998,NA,NA,NA
"2108","1-ha",66,1999,NA,NA,"plant missing (60)"
"2108","1-ha",66,1999,1,13,"sdlg (1)"
"2108","1-ha",66,2000,2,21,NA
"2108","1-ha",66,2000,NA,NA,"dead (2)"
"2108","1-ha",66,2001,4,24,NA
"2108","1-ha",66,2001,NA,NA,NA
"2108","1-ha",66,2002,4,66,NA
"2108","1-ha",66,2002,NA,NA,NA
"2108","1-ha",66,2003,NA,NA,"plant missing (60)"
"2108","1-ha",66,2003,NA,NA,NA
"2108","1-ha",66,2004,NA,NA,"plant missing (60)"
"2108","1-ha",66,2004,NA,NA,NA
"2108","1-ha",66,2005,5,100,NA
"2108","1-ha",66,2005,NA,NA,NA
"2108","1-ha",66,2006,5,110,"2x in field (200)"
"2108","1-ha",66,2006,NA,NA,NA
"2108","1-ha",66,2007,NA,NA,"2x in field (200)"
"2108","1-ha",66,2007,NA,NA,NA
"2108","1-ha",66,2008,NA,NA,NA
"2108","1-ha",66,2008,NA,NA,NA
"2108","1-ha",66,2009,NA,NA,NA
"2108","1-ha",66,2009,NA,NA,NA
"2108","1-ha",293,2007,1,15,"sdlg (1)"
"2108","1-ha",293,2008,1,7,"ULY (3)"
"2108","1-ha",293,2009,1,7,"dead (2)"
"5750","CF",864,2003,1,14,"sdlg (1)"
"5750","CF",864,2004,2,12,NA
"5750","CF",864,2005,NA,NA,"dead (2)"
"5750","CF",864,2006,1,8,NA
"5750","CF",864,2007,NA,NA,"dead (2)"
"5750","CF",864,2008,NA,NA,NA
"5750","CF",864,2009,NA,NA,NA
"5751","1-ha",128,1999,1,9,"sdlg (1)"
"5751","1-ha",128,2000,1,9,NA
"5751","1-ha",128,2001,1,7,NA
"5751","1-ha",128,2002,1,8,NA
"5751","1-ha",128,2003,2,20,NA
"5751","1-ha",128,2004,NA,NA,"dead (2)"
"5751","1-ha",128,2005,NA,NA,NA
"5751","1-ha",128,2006,2,37,NA
"5751","1-ha",128,2007,NA,NA,"plant missing (60)"
"5751","1-ha",128,2008,NA,NA,NA
"5751","1-ha",128,2009,NA,NA,NA
"5751","1-ha",365,2007,1,7,"sdlg (1)"
"5751","1-ha",365,2007,NA,NA,NA
"5751","1-ha",365,2008,NA,NA,"dead (2)"
"5751","1-ha",365,2008,3,40,NA
"5751","1-ha",365,2009,NA,NA,NA
"5751","1-ha",365,2009,NA,NA,NA
"5752","10-ha",149,1998,2,18,NA
"5752","10-ha",149,1999,3,20,NA
"5752","10-ha",149,2000,3,24,NA
"5752","10-ha",149,2001,3,25,NA
"5752","10-ha",149,2002,2,29,NA
"5752","10-ha",149,2003,2,39,NA
"5752","10-ha",149,2004,1,17,NA
"5752","10-ha",149,2005,NA,NA,"dead (2)"
"5752","10-ha",149,2006,1,16,NA
"5752","10-ha",149,2007,NA,NA,"plant missing (60)"
"5752","10-ha",149,2008,NA,NA,NA
"5752","10-ha",149,2009,NA,NA,NA
"5752","10-ha",499,2000,1,10,"sdlg (1)"
"5752","10-ha",499,2001,1,9,NA
"5752","10-ha",499,2002,1,14,NA
"5752","10-ha",499,2003,1,12,NA
"5752","10-ha",499,2004,1,16,NA
"5752","10-ha",499,2005,NA,NA,"dead (2)"
"5752","10-ha",499,2006,1,13,NA
"5752","10-ha",499,2007,NA,NA,"plant missing (60)"
"5752","10-ha",499,2008,NA,NA,NA
"5752","10-ha",499,2009,NA,NA,NA
"5752","10-ha",736,2004,1,7,"sdlg (1)"
"5752","10-ha",736,2005,NA,NA,"dead (2)"
"5752","10-ha",736,2006,2,15,NA
"5752","10-ha",736,2007,NA,NA,"plant missing (60)"
"5752","10-ha",736,2008,NA,NA,NA
"5752","10-ha",736,2009,NA,NA,NA
"5753","1-ha",34,1998,2,35,NA
"5753","1-ha",34,1999,2,21,NA
"5753","1-ha",34,2000,1,26,NA
"5753","1-ha",34,2001,2,32,NA
"5753","1-ha",34,2002,1,20,NA
"5753","1-ha",34,2003,1,20,NA
"5753","1-ha",34,2004,1,25,NA
"5753","1-ha",34,2005,1,22,NA
"5753","1-ha",34,2006,NA,NA,"dead (2)"
"5753","1-ha",34,2007,NA,NA,NA
"5753","1-ha",34,2008,1,10,NA
"5753","1-ha",34,2009,1,7,NA
"5753","1-ha",52,1998,2,38,NA
"5753","1-ha",52,1999,3,36,NA
"5753","1-ha",52,2000,2,32,NA
"5753","1-ha",52,2001,1,25,NA
"5753","1-ha",52,2002,2,25,NA
"5753","1-ha",52,2003,2,30,NA
"5753","1-ha",52,2004,1,22,NA
"5753","1-ha",52,2005,2,19,NA
"5753","1-ha",52,2006,NA,NA,"dead (2)"
"5753","1-ha",52,2007,2,28,NA
"5753","1-ha",52,2008,2,41,NA
"5753","1-ha",52,2009,2,36,NA
"5753","1-ha",345,2002,1,10,"sdlg (1)"
"5753","1-ha",345,2003,1,14,NA
"5753","1-ha",345,2004,1,14,NA
"5753","1-ha",345,2005,1,11,NA
"5753","1-ha",345,2006,1,7,NA
"5753","1-ha",345,2007,1,8,NA
"5753","1-ha",345,2008,NA,NA,"dead (2)"
"5753","1-ha",345,2009,1,6,"sdlg (1)"
"5753","1-ha",412,1998,1,80,NA
"5753","1-ha",412,1999,2,75,NA
"5753","1-ha",412,2000,3,74,NA
"5753","1-ha",412,2001,2,62,NA
"5753","1-ha",412,2002,1,15,"under branchfall (90)"
"5753","1-ha",412,2003,1,36,NA
"5753","1-ha",412,2004,1,20,NA
"5753","1-ha",412,2005,NA,NA,"dead (2)"
"5753","1-ha",412,2006,1,15,NA
"5753","1-ha",412,2007,1,7,NA
"5753","1-ha",412,2008,NA,NA,NA
"5753","1-ha",412,2009,1,10,NA
"5756","CF",29,1998,NA,70,NA
"5756","CF",29,1998,2,54,NA
"5756","CF",29,1999,2,40,NA
"5756","CF",29,1999,4,56,NA
"5756","CF",29,2000,3,53,NA
"5756","CF",29,2000,5,96,NA
"5756","CF",29,2001,5,46,NA
"5756","CF",29,2001,9,79,NA
"5756","CF",29,2002,4,51,NA
"5756","CF",29,2002,5,67,NA
"5756","CF",29,2003,2,54,NA
"5756","CF",29,2003,3,55,NA
"5756","CF",29,2004,2,58,NA
"5756","CF",29,2004,3,52,NA
"5756","CF",29,2005,3,55,NA
"5756","CF",29,2005,2,15,NA
"5756","CF",29,2006,3,50,"2x in field (200)"
"5756","CF",29,2006,NA,NA,"2x in field (200)"
"5756","CF",29,2007,2,48,NA
"5756","CF",29,2007,NA,NA,"dead (2)"
"5756","CF",29,2008,2,36,NA
"5756","CF",29,2008,NA,NA,NA
"5756","CF",29,2009,2,35,NA
"5756","CF",29,2009,NA,NA,NA
"5756","CF",50,1998,2,85,NA
"5756","CF",50,1999,2,78,NA
"5756","CF",50,2000,2,62,NA
"5756","CF",50,2001,4,49,NA
"5756","CF",50,2002,4,53,NA
"5756","CF",50,2003,2,58,NA
"5756","CF",50,2004,3,53,NA
"5756","CF",50,2005,4,68,NA
"5756","CF",50,2006,NA,NA,"dead (2)"
"5756","CF",50,2007,1,29,"under treefall (80)"
"5756","CF",50,2008,1,26,NA
"5756","CF",50,2009,1,26,NA
"5756","CF",141,1998,1,14,NA
"5756","CF",141,1999,1,10,NA
"5756","CF",141,2000,1,12,NA
"5756","CF",141,2001,3,14,NA
"5756","CF",141,2002,2,30,NA
"5756","CF",141,2003,1,15,NA
"5756","CF",141,2004,1,14,NA
"5756","CF",141,2005,NA,NA,"dead (2)"
"5756","CF",141,2006,1,8,NA
"5756","CF",141,2007,NA,NA,"plant missing (60)"
"5756","CF",141,2008,NA,NA,NA
"5756","CF",141,2009,NA,NA,NA
"5756","CF",690,1999,1,11,"sdlg (1)"
