PA-10,,,,,,,,,,
row,col,id,,,05 notes,problem notes,,,,
C,3,272,,,duplicate, 272 its in C2,,,,
C,2,272,,,duplicate,,,,,
B,5,1343,,,duplicate,"A 1343 its in B6, mas ela morreu",,,,
B,6,1343,,,duplicate,,,,,
46,B,4,,,duplicate,A 46 'e um cano na E6,,,,
46,E,6,,,duplicate,,,,,
1366,B,10,,,duplicate,A 1366 its in B8,,,,
1366,B,8,,,duplicate,,,,,
1305,B,7,,,duplicate,A 1305 its in B7,,,,
1305,B,6,,,duplicate,,,,,
1309,B,7,,,duplicate,A 1309its in B7,,,,
1309,B,6,,,duplicate,,,,,
847,E,2,,,duplicate,A 847 its in E2,,,,
847,E,2,,,duplicate,,,,,
797,E,1,,,duplicate,A 797 nao foi encontrada,,,,
797,C,8,,,duplicate,,,,,
739,C,8,,,duplicate,A 739 its in C8,,,,
739,E,2,,,duplicate,,,,,
724,C,4,,,duplicate,"A 724 its in C4, ms ela morreu",,,,
724,E,4,,,duplicate,,,,,
428,B,4,,,duplicate,A 428 its in B4,,,,
316,A,5,,,duplicate,A 316 nao foi encontrada,,,,
316,B,5,,,duplicate,,,,,
87,A,9,,,duplicate,A 87 its in A9,,,,
87,E,10,,,duplicate,,,,,
180,C,7,,,duplicate,A 180 not on list or found in plot ,,,,
180,D,7,,,duplicate,,,,,
173,E,5,,,duplicate,A 173 its in E5 ,,,,
173,E,9,,,duplicate,,,,,
