"plot","plotID","habitat","ranch","bdffp_reserve_no","HA_ID_Number","tag_number","row","column","x_09","y_09","year","code.notes"
"2107","FF-1","1-ha","Dimona","2107","2",2,"C","7","7.4",2,1999,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","10",10,"C","5","",NA,1999,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","51",52,"D","7","2.6",7.1,1999,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","102",106,"B","10","0.4",8.9,1999,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","125",131,"A","5","6",8.6,2001,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","16",16,"C","9","",NA,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","34",35,"C","8","7.1",8.8,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","40",41,"E","4","",NA,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","54",55,"C","7","7.9",3.1,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","71",75,"B","5","",NA,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","79",83,"B","4","1.3",0.1,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","90",94,"B","3","",NA,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","93",97,"B","9","5.5",9,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","103",107,"E","9","7.9",7.3,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","106",110,"E","1","0.5",3.4,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","110",114,"B","4","",NA,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","135",142,"B","10","5.6",4.5,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","191",199,"B","9","3.3",8.7,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","238",246,"C","10","2.7",1.7,2002,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","28",29,"A","9","6.2",3.6,2004,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","35",36,"C","1","",NA,2004,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","131",138,"E","9","4.2",7.6,2004,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","155",162,"C","10","1.1",3.6,2004,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","171",178,"C","5","5.2",8.7,2004,"under treefall (80)"
"2107","FF-1","1-ha","Dimona","2107","309",326,"C","5","6.5",9.1,2004,"under treefall (80)"
"2107","FF-1","1-ha","Dimona","2107","33",34,"A","7","7.8",2.2,2005,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","79",83,"B","4","1.3",0.1,2005,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","89",93,"A","9","5.7",4.1,2005,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","103",107,"E","9","7.9",7.3,2005,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","106",110,"E","1","0.5",3.4,2005,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","243",251,"B","10","",NA,2005,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","304",314,"B","10","8.2",8.4,2005,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","8",8,"B","6","7.6",6.7,2006,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","13",13,"A","7","9.1",1.9,2006,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","112",117,"C","6","1.8",1.7,2006,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","121",126,"A","4","3.3",8.2,2006,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","137",144,"B","9","6",6.6,2006,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","188",196,"B","3","4.6",1,2006,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","208",216,"A","9","4.8",2.9,2006,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","268",276,"C","10","",NA,2006,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","283",293,"C","8","1",6.5,2006,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","115",120,"A","6","2.3",6.4,2007,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","121",126,"A","4","3.3",8.2,2007,"under branchfall (90)"
"2107","FF-1","1-ha","Dimona","2107","155",162,"C","10","1.1",3.6,2008,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","356",19,"C","10","6.3",1.5,2001,"under treefall (80)"
"2108","FF-2","1-ha","Dimona","2108","356",19,"C","10","6.3",1.5,2002,"under treefall (80)"
"2108","FF-2","1-ha","Dimona","2108","358",21,"E","8","",NA,2002,"under litter (70)"
"2108","FF-2","1-ha","Dimona","2108","365",28,"E","7","7.4",8.2,2002,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","419",84,"D","9","8.9",6.2,2002,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","446",125,"A","1","1.4",4.2,2002,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","452",136,"A","1","2.8",2.6,2002,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","453",137,"B","9","1.4",6.1,2002,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","494",197,"D","1","3.3",9.3,2002,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","517",228,"A","9","1.5",6.2,2002,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","464",150,"C","2","8.9",3.5,2003,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","344",8,"E","7","3.6",8.2,2004,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","356",19,"C","10","6.3",1.5,2004,"under treefall (80)"
"2108","FF-2","1-ha","Dimona","2108","466",152,"B","3","5.4",4,2004,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","516",227,"C","8","",NA,2004,"under treefall (80)"
"2108","FF-2","1-ha","Dimona","2108","363",26,"A","6","8.1",4.9,2005,"under branchfall (90)"
